card_id,side,attack,max_health,keywords,effect_text
U001,front,1,2,,
U001,back,1,2,,翻面時: 自身攻擊力永久+1。
U002,front,2,3,,
U002,back,2,3,,翻面時: 自身最大生命值永久+1。
U003,front,2,1,迅擊,
U003,back,2,1,迅擊,翻面時: 指定我方一個其他單位攻擊力+1到本回合結束。
U004,front,1,4,庇護,
U004,back,1,4,庇護,翻面時: 指定我方一個其他單位治療1點現有生命值。
U005,front,1,1,,登場時: 從我方牌組抽1張牌。
U005,back,1,1,,翻面時: 從我方牌組抽1張牌。
U006,front,3,5,,
U006,back,3,5,,翻面時: 指定對方一個單位造成2點傷害。
U007,front,1,2,,離場時: 從我方牌組抽1張牌。
U007,back,1,2,,離場時: 從我方牌組抽2張牌。
U008,front,2,3,迅擊,
U008,back,2,3,迅擊,翻面時: 指定對方一個單位造成1點傷害。
U009,front,2,5,,
U009,back,2,5,,翻面時: 獲得【庇護】到對手回合結束，且自身最大生命值永久+1。
U010,front,1,3,,一回合一次，消耗1魔力值，指定我方一個其他單位治療1點現有生命值。
U010,back,1,3,,一回合一次，指定我方一個其他單位治療1點現有生命值。
U011,front,4,7,庇護,
U011,back,4,7,庇護,翻面時: 指定我方一個其他單位獲得永久【庇護】。
U012,front,3,6,,登場時: 使我方戰場上全部的其他單位卡攻擊力、最大生命值+1到本回合結束。
U012,back,3,6,,翻面時: 使我方戰場上全部的其他單位卡攻擊力、最大生命值永久+1。
U013,front,3,7,,
U013,back,3,7,,翻面時: 治療我方領袖4點生命值。
