rank,card_id,name,deck_id,type,cost,quantity,balance_direction,imbalance_pressure_score,outlier_score,win_rate_when_used,deck_baseline_win_rate,win_rate_delta_vs_deck,games_used,use_events,uses_per_recorded_draw,avg_use_turn,attribution_method,evidence_status,caveat
1,S002,神聖防禦,D001,spell,4,3,nerf_review,0.06641,0.06641,0.9721,0.8925,0.0796,466,706,0.6686,9.952,unique_static_membership,historical_attributed,
2,U011,遺跡石像,D001,unit,7,2,nerf_review,0.056896,0.056896,0.9507,0.8925,0.0582,568,725,0.9552,9.939,unique_static_membership,historical_attributed,
3,U012,騎士團長,D001,unit,6,2,nerf_review,0.0397,0.0397,0.9322,0.8925,0.0397,634,823,1.1137,9.163,unique_static_membership,historical_attributed,Predates recent U012 effect and transform-condition changes.
4,U004,帝國盾衛,D001,unit,3,2,nerf_review,0.0268,0.0268,0.9193,0.8925,0.0268,644,919,1.2555,7.471,unique_static_membership,historical_attributed,
5,U006,飛龍,D001,unit,4,2,nerf_review,0.0187,0.0187,0.9112,0.8925,0.0187,642,867,1.262,7.882,unique_static_membership,historical_attributed,
6,A002,世界樹,D002,artifact,5,2,nerf_review,0.018166,-0.018166,0.0882,0.1075,-0.0193,703,1051,0.8825,8.986,unique_static_membership,historical_attributed,
7,U009,大樹守衛,D002,unit,5,2,nerf_review,0.01769,-0.01769,0.0882,0.1075,-0.0193,669,1009,0.8332,9.081,unique_static_membership,historical_attributed,
8,U013,聖獸,D002,unit,6,2,nerf_review,0.016877,-0.016877,0.0877,0.1075,-0.0198,616,871,0.7047,9.542,unique_static_membership,historical_attributed,
9,U010,慈愛精靈,D002,unit,3,2,nerf_review,0.016844,-0.016844,0.0902,0.1075,-0.0173,721,1132,0.9473,7.635,unique_static_membership,historical_attributed,
10,U001,哥布林,D001,unit,1,3,nerf_review,0.0126,0.0126,0.9051,0.8925,0.0126,738,1380,1.3244,5.964,unique_static_membership,historical_attributed,
11,U002,帝國騎士,D001,unit,2,3,nerf_review,0.0106,0.0106,0.9031,0.8925,0.0106,753,1444,1.2836,6.641,unique_static_membership,historical_attributed,
12,S001,全力一擊,D002,spell,2,3,nerf_review,0.0072,-0.0072,0.1003,0.1075,-0.0072,788,2025,1.1169,7.518,unique_static_membership,historical_attributed,
13,U005,報童,D002,unit,1,3,nerf_review,0.0052,-0.0052,0.1023,0.1075,-0.0052,782,1945,1.1083,6.911,unique_static_membership,historical_attributed,
14,A001,石中劍,D001,artifact,3,2,nerf_review,0.0036,0.0036,0.8961,0.8925,0.0036,664,923,1.2784,7.372,unique_static_membership,historical_attributed,
15,U007,小精靈,D002,unit,1,3,nerf_review,0.0027,-0.0027,0.1048,0.1075,-0.0027,792,2008,1.1396,6.678,unique_static_membership,historical_attributed,
16,U008,精靈遊俠,D002,unit,2,3,mitigates_imbalance,-0.0012,0.0012,0.1087,0.1075,0.0012,782,1880,1.0439,6.999,unique_static_membership,historical_attributed,
17,U003,游擊小隊,D001,unit,2,3,mitigates_imbalance,-0.0017,-0.0017,0.8908,0.8925,-0.0017,751,1436,1.2867,6.62,unique_static_membership,historical_attributed,
18,S003,精靈鼓舞,D002,spell,4,2,mitigates_imbalance,-0.006009,0.006009,0.1137,0.1075,0.0062,721,1142,0.9384,8.49,unique_static_membership,historical_attributed,
19,R001,反擊風暴,D001|D002,response,2,3|3,unranked,,,,,,,2239,0.7657,,shared_unattributed,unattributed,"7,402 shared-card events lack game/player-to-deck mapping; row 19 is a list position, not a weakest-card rank."
