deck_id,deck_name,card_id,name,type,faction_id,rarity,quantity,cost,front_attack,front_health,front_stats_per_mana,back_attack,back_health,transform_attack_gain,transform_health_gain,transform_total_stat_gain,transform_condition,keyword_count,keywords,effect_count,operations,triggers
D001,F001測試牌組,U001,哥布林,unit,NEUTRAL,R,3,1,1,2,3.0,1,2,0,0,0,attack_count,0,,1,modify_attack,on_flip
D001,F001測試牌組,U002,帝國騎士,unit,F001,R,3,2,2,3,2.5,2,3,0,0,0,attack_count,0,,1,modify_max_health,on_flip
D001,F001測試牌組,U003,游擊小隊,unit,F001,R,3,2,2,1,1.5,2,1,0,0,0,kill_count,1,迅擊,1,modify_attack,on_flip
D001,F001測試牌組,U004,帝國盾衛,unit,F001,R,2,3,1,4,1.667,1,4,0,0,0,total_damage_taken,1,庇護,1,heal,on_flip
D001,F001測試牌組,U006,飛龍,unit,NEUTRAL,SR,2,4,3,5,2.0,3,5,0,0,0,total_damage_dealt,0,,1,damage,on_flip
D001,F001測試牌組,U011,遺跡石像,unit,NEUTRAL,SR,2,7,4,8,1.714,4,8,0,0,0,total_damage_taken,1,庇護,1,add_keyword,on_flip
D001,F001測試牌組,U012,騎士團長,unit,F001,SR,2,6,3,6,1.5,3,6,0,0,0,unit_count_at_least,0,,4,modify_attack|modify_max_health,on_enter|on_flip
D001,F001測試牌組,S002,神聖防禦,spell,F001,R,3,3,,,,,,,,,,0,,1,modify_max_health,on_play
D001,F001測試牌組,A001,石中劍,artifact,NEUTRAL,R,2,3,,,,,,,,,,0,,1,modify_attack,manual
D001,F001測試牌組,R001,反擊風暴,response,NEUTRAL,R,3,2,,,,,,,,,,0,,1,modify_attack,ally_becomes_attack_target
D002,F002測試牌組,U005,報童,unit,NEUTRAL,R,3,1,1,1,2.0,1,1,0,0,0,turn_count,0,,2,draw,on_enter|on_flip
D002,F002測試牌組,U007,小精靈,unit,F002,R,3,1,1,2,3.0,1,2,0,0,0,turn_count,0,,2,draw,on_leave
D002,F002測試牌組,U008,精靈遊俠,unit,F002,R,3,2,2,3,2.5,2,3,0,0,0,attack_count,1,迅擊,1,damage,on_flip
D002,F002測試牌組,U009,大樹守衛,unit,F002,R,2,5,2,5,1.4,2,5,0,0,0,turn_count,0,,2,add_keyword|modify_max_health,on_flip
D002,F002測試牌組,U010,慈愛精靈,unit,F002,R,2,3,1,3,1.333,1,3,0,0,0,heal_count,0,,2,heal,manual
D002,F002測試牌組,U013,聖獸,unit,F002,SR,2,6,3,7,1.667,3,7,0,0,0,leader_health_at_or_below,0,,1,heal,on_flip
D002,F002測試牌組,S001,全力一擊,spell,NEUTRAL,R,3,2,,,,,,,,,,0,,1,damage,on_play
D002,F002測試牌組,S003,精靈鼓舞,spell,F002,R,2,4,,,,,,,,,,0,,2,modify_attack|modify_max_health,on_play
D002,F002測試牌組,A002,世界樹,artifact,F002,R,2,5,,,,,,,,,,0,,1,heal,manual
D002,F002測試牌組,R001,反擊風暴,response,NEUTRAL,R,3,2,,,,,,,,,,0,,1,modify_attack,ally_becomes_attack_target
