card_id,name,draw_events,play_events,response_events,transform_events,effect_damage_events,heal_events,play_given_draw_rate,avg_play_turn,games_played,wins_when_played,win_rate_when_played
A001,石中劍,1006,1269,0,0,0,0,1.2614,7.646,900,806,0.8956
A002,世界樹,1645,1417,0,0,0,0,0.8614,8.699,944,78,0.0826
R001,反擊風暴,3882,0,3022,0,0,0,0.0,,0,0,
S001,全力一擊,2459,2757,0,0,0,0,1.1212,7.3,1088,97,0.0892
S002,神聖防禦,1474,1286,0,0,0,0,0.8725,9.901,773,746,0.9651
S003,精靈鼓舞,1655,1573,0,0,0,0,0.9505,8.155,1007,104,0.1033
U001,哥布林,1478,1940,0,809,0,0,1.3126,6.114,1014,925,0.9122
U002,帝國騎士,1556,1891,0,439,0,0,1.2153,7.034,1027,928,0.9036
U003,游擊小隊,1485,1884,0,56,0,0,1.2687,6.849,1009,912,0.9039
U004,帝國盾衛,960,1192,0,1012,0,0,1.2417,7.42,860,798,0.9279
U005,報童,2347,2658,0,1750,0,0,1.1325,6.492,1075,101,0.094
U006,飛龍,1017,1222,0,329,0,0,1.2016,8.157,868,808,0.9309
U007,小精靈,2410,2670,0,1908,0,0,1.1079,6.622,1082,103,0.0952
U008,精靈遊俠,2449,2536,0,706,0,0,1.0355,6.776,1071,107,0.0999
U009,大樹守衛,1653,1347,0,593,0,0,0.8149,8.816,923,75,0.0813
U010,慈愛精靈,1656,1560,0,132,0,0,0.942,7.574,974,80,0.0821
U011,遺跡石像,1034,1012,0,748,0,0,0.9787,9.912,796,763,0.9585
U012,騎士團長,988,1113,0,804,0,0,1.1265,9.412,849,796,0.9376
U013,聖獸,1663,1199,0,505,0,0,0.721,9.156,841,71,0.0844
