deck_id,dimension,value,card_copies
D001,operation,add_keyword,2
D001,operation,damage,2
D001,operation,heal,2
D001,operation,modify_attack,13
D001,operation,modify_max_health,8
D001,trigger,ally_becomes_attack_target,3
D001,trigger,manual,2
D001,trigger,on_enter,2
D001,trigger,on_flip,17
D001,trigger,on_play,3
D002,operation,add_keyword,2
D002,operation,damage,6
D002,operation,draw,6
D002,operation,heal,6
D002,operation,modify_attack,5
D002,operation,modify_max_health,4
D002,trigger,ally_becomes_attack_target,3
D002,trigger,manual,4
D002,trigger,on_enter,3
D002,trigger,on_flip,10
D002,trigger,on_leave,3
D002,trigger,on_play,5
