deck_id,card_id,name,type,cost,quantity,front_stats_per_mana,keywords,operations,triggers,draw_events,play_events,play_given_draw_rate,avg_play_turn,games_played,win_rate_when_played,deck_baseline_win_rate,win_rate_delta_vs_deck,usage_confidence,outlier_score,response_events,transform_events,effect_damage_events,heal_events
D001,R001,反擊風暴,response,2,3,,,modify_attack,ally_becomes_attack_target,3882,3022,0.7785,9.292,1022,0.7935,0.8975,-0.104,1.0,-0.092482,3022,0,0,0
D002,U010,慈愛精靈,unit,3,2,1.333,,heal,manual,1656,1560,0.942,7.574,974,0.0821,0.1025,-0.0204,1.0,-0.019808,0,132,0,0
D002,U009,大樹守衛,unit,5,2,1.4,,add_keyword|modify_max_health,on_flip,1653,1347,0.8149,8.816,923,0.0813,0.1025,-0.0212,1.0,-0.019238,0,593,0,0
D002,A002,世界樹,artifact,5,2,,,heal,manual,1645,1417,0.8614,8.699,944,0.0826,0.1025,-0.0199,1.0,-0.018521,0,0,0,0
D002,U013,聖獸,unit,6,2,1.667,,heal,on_flip,1663,1199,0.721,9.156,841,0.0844,0.1025,-0.0181,1.0,-0.015575,0,505,0,0
D002,S001,全力一擊,spell,2,3,,,damage,on_play,2459,2757,1.1212,7.3,1088,0.0892,0.1025,-0.0133,1.0,-0.014106,0,0,0,0
D002,U005,報童,unit,1,3,2.0,,draw,on_enter|on_flip,2347,2658,1.1325,6.492,1075,0.094,0.1025,-0.0085,1.0,-0.009063,0,1750,0,0
D002,U007,小精靈,unit,1,3,3.0,,draw,on_leave,2410,2670,1.1079,6.622,1082,0.0952,0.1025,-0.0073,1.0,-0.007694,0,1908,0,0
D002,U008,精靈遊俠,unit,2,3,2.5,迅擊,damage,on_flip,2449,2536,1.0355,6.776,1071,0.0999,0.1025,-0.0026,1.0,-0.002646,0,706,0,0
D001,A001,石中劍,artifact,3,2,,,modify_attack,manual,1006,1269,1.2614,7.646,900,0.8956,0.8975,-0.0019,1.0,-0.002148,0,0,0,0
