deck_id,card_id,name,type,cost,quantity,front_stats_per_mana,keywords,operations,triggers,draw_events,play_events,play_given_draw_rate,avg_play_turn,games_played,win_rate_when_played,deck_baseline_win_rate,win_rate_delta_vs_deck,usage_confidence,outlier_score,response_events,transform_events,effect_damage_events,heal_events
D002,R001,反擊風暴,response,2,3,,,modify_attack,ally_becomes_attack_target,3882,3022,0.7785,9.292,1022,0.7935,0.1025,0.691,1.0,0.614472,3022,0,0,0
D001,S002,神聖防禦,spell,3,3,,,modify_max_health,on_play,1474,1286,0.8725,9.901,773,0.9651,0.8975,0.0676,1.0,0.06329,0,0,0,0
D001,U011,遺跡石像,unit,7,2,1.714,庇護,add_keyword,on_flip,1034,1012,0.9787,9.912,796,0.9585,0.8975,0.061,1.0,0.06035,0,748,0,0
D001,U012,騎士團長,unit,6,2,1.5,,modify_attack|modify_max_health,on_enter|on_flip,988,1113,1.1265,9.412,849,0.9376,0.8975,0.0401,1.0,0.042636,0,804,0,0
D001,U006,飛龍,unit,4,2,2.0,,damage,on_flip,1017,1222,1.2016,8.157,868,0.9309,0.8975,0.0334,1.0,0.036767,0,329,0,0
D001,U004,帝國盾衛,unit,3,2,1.667,庇護,heal,on_flip,960,1192,1.2417,7.42,860,0.9279,0.8975,0.0304,1.0,0.034074,0,1012,0,0
D001,U001,哥布林,unit,1,3,3.0,,modify_attack,on_flip,1478,1940,1.3126,6.114,1014,0.9122,0.8975,0.0147,1.0,0.016998,0,809,0,0
D001,U003,游擊小隊,unit,2,3,1.5,迅擊,modify_attack,on_flip,1485,1884,1.2687,6.849,1009,0.9039,0.8975,0.0064,1.0,0.00726,0,56,0,0
D001,U002,帝國騎士,unit,2,3,2.5,,modify_max_health,on_flip,1556,1891,1.2153,7.034,1027,0.9036,0.8975,0.0061,1.0,0.006757,0,439,0,0
D002,S003,精靈鼓舞,spell,4,2,,,modify_attack|modify_max_health,on_play,1655,1573,0.9505,8.155,1007,0.1033,0.1025,0.0008,1.0,0.00078,0,0,0,0
