deck_id,card_id,name,type,cost,quantity,front_stats_per_mana,keywords,operations,triggers,draw_events,play_events,play_given_draw_rate,avg_play_turn,games_played,win_rate_when_played,deck_baseline_win_rate,win_rate_delta_vs_deck,usage_confidence,outlier_score,response_events,transform_events,effect_damage_events,heal_events
D002,U007,小精靈,unit,1,3,3.0,,draw,on_leave,2410,2670,1.1079,6.622,1082,0.0952,0.1025,-0.0073,1.0,-0.007694,0,1908,0,0
D002,U005,報童,unit,1,3,2.0,,draw,on_enter|on_flip,2347,2658,1.1325,6.492,1075,0.094,0.1025,-0.0085,1.0,-0.009063,0,1750,0,0
D001,U004,帝國盾衛,unit,3,2,1.667,庇護,heal,on_flip,960,1192,1.2417,7.42,860,0.9279,0.8975,0.0304,1.0,0.034074,0,1012,0,0
D001,U001,哥布林,unit,1,3,3.0,,modify_attack,on_flip,1478,1940,1.3126,6.114,1014,0.9122,0.8975,0.0147,1.0,0.016998,0,809,0,0
D001,U012,騎士團長,unit,6,2,1.5,,modify_attack|modify_max_health,on_enter|on_flip,988,1113,1.1265,9.412,849,0.9376,0.8975,0.0401,1.0,0.042636,0,804,0,0
D001,U011,遺跡石像,unit,7,2,1.714,庇護,add_keyword,on_flip,1034,1012,0.9787,9.912,796,0.9585,0.8975,0.061,1.0,0.06035,0,748,0,0
D002,U008,精靈遊俠,unit,2,3,2.5,迅擊,damage,on_flip,2449,2536,1.0355,6.776,1071,0.0999,0.1025,-0.0026,1.0,-0.002646,0,706,0,0
D002,U009,大樹守衛,unit,5,2,1.4,,add_keyword|modify_max_health,on_flip,1653,1347,0.8149,8.816,923,0.0813,0.1025,-0.0212,1.0,-0.019238,0,593,0,0
D002,U013,聖獸,unit,6,2,1.667,,heal,on_flip,1663,1199,0.721,9.156,841,0.0844,0.1025,-0.0181,1.0,-0.015575,0,505,0,0
D001,U002,帝國騎士,unit,2,3,2.5,,modify_max_health,on_flip,1556,1891,1.2153,7.034,1027,0.9036,0.8975,0.0061,1.0,0.006757,0,439,0,0
D001,U006,飛龍,unit,4,2,2.0,,damage,on_flip,1017,1222,1.2016,8.157,868,0.9309,0.8975,0.0334,1.0,0.036767,0,329,0,0
D002,U010,慈愛精靈,unit,3,2,1.333,,heal,manual,1656,1560,0.942,7.574,974,0.0821,0.1025,-0.0204,1.0,-0.019808,0,132,0,0
D001,U003,游擊小隊,unit,2,3,1.5,迅擊,modify_attack,on_flip,1485,1884,1.2687,6.849,1009,0.9039,0.8975,0.0064,1.0,0.00726,0,56,0,0
