deck_id,card_id,name,type,cost,quantity,keywords,operations,triggers,recorded_draw_events,normal_play_events,response_play_events,use_events,uses_per_recorded_draw,avg_use_turn,games_used,win_rate_when_used,deck_baseline_win_rate,win_rate_delta_vs_deck,usage_confidence,outlier_score,attribution_method
D001,A001,石中劍,artifact,3,2,,modify_attack,manual,722,923,0,923,1.2784,7.372,664,0.8961,0.8925,0.0036,1.0,0.0036,unique_static_membership
D001,S002,神聖防禦,spell,4,3,,modify_max_health,on_play,1056,706,0,706,0.6686,9.952,466,0.9721,0.8925,0.0796,1.0,0.06641,unique_static_membership
D001,U001,哥布林,unit,1,3,,modify_attack,on_flip,1042,1380,0,1380,1.3244,5.964,738,0.9051,0.8925,0.0126,1.0,0.0126,unique_static_membership
D001,U002,帝國騎士,unit,2,3,,modify_max_health,on_flip,1125,1444,0,1444,1.2836,6.641,753,0.9031,0.8925,0.0106,1.0,0.0106,unique_static_membership
D001,U003,游擊小隊,unit,2,3,迅擊,modify_attack,on_flip,1116,1436,0,1436,1.2867,6.62,751,0.8908,0.8925,-0.0017,1.0,-0.0017,unique_static_membership
D001,U004,帝國盾衛,unit,3,2,庇護,heal,on_flip,732,919,0,919,1.2555,7.471,644,0.9193,0.8925,0.0268,1.0,0.0268,unique_static_membership
D001,U006,飛龍,unit,4,2,,damage,on_flip,687,867,0,867,1.262,7.882,642,0.9112,0.8925,0.0187,1.0,0.0187,unique_static_membership
D001,U011,遺跡石像,unit,7,2,庇護,add_keyword,on_flip,759,725,0,725,0.9552,9.939,568,0.9507,0.8925,0.0582,1.0,0.056896,unique_static_membership
D001,U012,騎士團長,unit,6,2,,modify_attack|modify_max_health,on_enter|on_flip,739,823,0,823,1.1137,9.163,634,0.9322,0.8925,0.0397,1.0,0.0397,unique_static_membership
D002,A002,世界樹,artifact,5,2,,heal,manual,1191,1051,0,1051,0.8825,8.986,703,0.0882,0.1075,-0.0193,1.0,-0.018166,unique_static_membership
D002,S001,全力一擊,spell,2,3,,damage,on_play,1813,2025,0,2025,1.1169,7.518,788,0.1003,0.1075,-0.0072,1.0,-0.0072,unique_static_membership
D002,S003,精靈鼓舞,spell,4,2,,modify_attack|modify_max_health,on_play,1217,1142,0,1142,0.9384,8.49,721,0.1137,0.1075,0.0062,1.0,0.006009,unique_static_membership
D002,U005,報童,unit,1,3,,draw,on_enter|on_flip,1755,1945,0,1945,1.1083,6.911,782,0.1023,0.1075,-0.0052,1.0,-0.0052,unique_static_membership
D002,U007,小精靈,unit,1,3,,draw,on_leave,1762,2008,0,2008,1.1396,6.678,792,0.1048,0.1075,-0.0027,1.0,-0.0027,unique_static_membership
D002,U008,精靈遊俠,unit,2,3,迅擊,damage,on_flip,1801,1880,0,1880,1.0439,6.999,782,0.1087,0.1075,0.0012,1.0,0.0012,unique_static_membership
D002,U009,大樹守衛,unit,5,2,,add_keyword|modify_max_health,on_flip,1211,1009,0,1009,0.8332,9.081,669,0.0882,0.1075,-0.0193,1.0,-0.01769,unique_static_membership
D002,U010,慈愛精靈,unit,3,2,,heal,manual,1195,1132,0,1132,0.9473,7.635,721,0.0902,0.1075,-0.0173,1.0,-0.016844,unique_static_membership
D002,U013,聖獸,unit,6,2,,heal,on_flip,1236,871,0,871,0.7047,9.542,616,0.0877,0.1075,-0.0198,1.0,-0.016877,unique_static_membership
