deck_id,card_id,name,type,cost,quantity,keywords,operations,triggers,recorded_draw_events,normal_play_events,response_play_events,use_events,uses_per_recorded_draw,avg_use_turn,games_used,win_rate_when_used,deck_baseline_win_rate,win_rate_delta_vs_deck,usage_confidence,outlier_score,attribution_method
D001,S002,神聖防禦,spell,4,3,,modify_max_health,on_play,1056,706,0,706,0.6686,9.952,466,0.9721,0.8925,0.0796,1.0,0.06641,unique_static_membership
D001,U011,遺跡石像,unit,7,2,庇護,add_keyword,on_flip,759,725,0,725,0.9552,9.939,568,0.9507,0.8925,0.0582,1.0,0.056896,unique_static_membership
D001,U012,騎士團長,unit,6,2,,modify_attack|modify_max_health,on_enter|on_flip,739,823,0,823,1.1137,9.163,634,0.9322,0.8925,0.0397,1.0,0.0397,unique_static_membership
D001,U004,帝國盾衛,unit,3,2,庇護,heal,on_flip,732,919,0,919,1.2555,7.471,644,0.9193,0.8925,0.0268,1.0,0.0268,unique_static_membership
D001,U006,飛龍,unit,4,2,,damage,on_flip,687,867,0,867,1.262,7.882,642,0.9112,0.8925,0.0187,1.0,0.0187,unique_static_membership
D001,U001,哥布林,unit,1,3,,modify_attack,on_flip,1042,1380,0,1380,1.3244,5.964,738,0.9051,0.8925,0.0126,1.0,0.0126,unique_static_membership
D001,U002,帝國騎士,unit,2,3,,modify_max_health,on_flip,1125,1444,0,1444,1.2836,6.641,753,0.9031,0.8925,0.0106,1.0,0.0106,unique_static_membership
D002,S003,精靈鼓舞,spell,4,2,,modify_attack|modify_max_health,on_play,1217,1142,0,1142,0.9384,8.49,721,0.1137,0.1075,0.0062,1.0,0.006009,unique_static_membership
D001,A001,石中劍,artifact,3,2,,modify_attack,manual,722,923,0,923,1.2784,7.372,664,0.8961,0.8925,0.0036,1.0,0.0036,unique_static_membership
D002,U008,精靈遊俠,unit,2,3,迅擊,damage,on_flip,1801,1880,0,1880,1.0439,6.999,782,0.1087,0.1075,0.0012,1.0,0.0012,unique_static_membership
