deck_id,card_id,recorded_draw_events,normal_play_events,response_play_events,use_events,uses_per_recorded_draw,avg_use_turn,games_used,wins_when_used,win_rate_when_used,transform_events,effect_damage_events,heal_events,attribution_method
D001,A001,722,923,0,923,1.2784,7.372,664,595,0.8961,0,0,0,unique_static_membership
D001,S002,1056,706,0,706,0.6686,9.952,466,453,0.9721,0,0,0,unique_static_membership
D001,U001,1042,1380,0,1380,1.3244,5.964,738,668,0.9051,533,0,0,unique_static_membership
D001,U002,1125,1444,0,1444,1.2836,6.641,753,680,0.9031,324,0,0,unique_static_membership
D001,U003,1116,1436,0,1436,1.2867,6.62,751,669,0.8908,31,0,0,unique_static_membership
D001,U004,732,919,0,919,1.2555,7.471,644,592,0.9193,778,0,0,unique_static_membership
D001,U006,687,867,0,867,1.262,7.882,642,585,0.9112,236,0,0,unique_static_membership
D001,U011,759,725,0,725,0.9552,9.939,568,540,0.9507,508,0,0,unique_static_membership
D001,U012,739,823,0,823,1.1137,9.163,634,591,0.9322,556,0,0,unique_static_membership
D002,A002,1191,1051,0,1051,0.8825,8.986,703,62,0.0882,0,0,0,unique_static_membership
D002,S001,1813,2025,0,2025,1.1169,7.518,788,79,0.1003,0,0,0,unique_static_membership
D002,S003,1217,1142,0,1142,0.9384,8.49,721,82,0.1137,0,0,0,unique_static_membership
D002,U005,1755,1945,0,1945,1.1083,6.911,782,80,0.1023,1286,0,0,unique_static_membership
D002,U007,1762,2008,0,2008,1.1396,6.678,792,83,0.1048,1455,0,0,unique_static_membership
D002,U008,1801,1880,0,1880,1.0439,6.999,782,85,0.1087,539,0,0,unique_static_membership
D002,U009,1211,1009,0,1009,0.8332,9.081,669,59,0.0882,479,0,0,unique_static_membership
D002,U010,1195,1132,0,1132,0.9473,7.635,721,65,0.0902,101,0,0,unique_static_membership
D002,U013,1236,871,0,871,0.7047,9.542,616,54,0.0877,363,0,0,unique_static_membership
