metric,D001,D002,delta_first_minus_second
deck_size,25.0,25.0,0.0
average_cost,3.16,2.8,0.3600000000000003
median_cost,3.0,2.0,1.0
cards_cost_le_1,3.0,6.0,-3.0
opening_cost_playability_t1,0.5043478260869565,0.7811405985319029,-0.2767927724449464
cards_cost_le_2,12.0,15.0,-3.0
opening_cost_playability_t2,0.9757763975155279,0.9952569169960475,-0.019480519480519543
cards_cost_le_3,16.0,17.0,-1.0
opening_cost_playability_t3,0.9976284584980237,0.9989459815546772,-0.0013175230566534468
turn_snapshots,57873.0,56760.0,1113.0
avg_unused_mana,2.7435591726711936,2.117723749119098,0.6258354235520955
mana_efficiency,0.5519428845556904,0.6498192316544164,-0.09787634709872595
dead_hand_rate,0.260086741658459,0.16122269203664552,0.0988640496218135
avg_first_card_player_turn,2.0636,1.734,0.3296000000000001
avg_cards_played_by_player_turn_3,1.7232,2.2788,-0.5555999999999999
