deck_id,card_id,quantity,cost,name,card_type,back_attack,front_attack,back_health,front_health,front_total_stats,front_attack_per_mana,front_health_per_mana,front_stats_per_mana,back_total_stats,back_attack_per_mana,back_health_per_mana,back_stats_per_mana,transform_attack_delta,transform_health_delta,transform_total_stat_delta,transform_stat_gain_pct,effect_count,cost_band_mean_front_stats_per_mana,cost_band_median_front_stats_per_mana,front_efficiency_vs_cost_band
D001,U001,3,1,哥布林,unit,1,1,2,2,3,1.0,2.0,3.0,3,1.0,2.0,3.0,0,0,0,0.0,1,2.6666666666666665,3.0,0.3333333333333335
D001,U002,3,2,帝國騎士,unit,2,2,3,3,5,1.0,1.5,2.5,5,1.0,1.5,2.5,0,0,0,0.0,1,2.1666666666666665,2.5,0.3333333333333335
D001,U003,3,2,游擊小隊,unit,2,2,1,1,3,1.0,0.5,1.5,3,1.0,0.5,1.5,0,0,0,0.0,1,2.1666666666666665,2.5,-0.6666666666666665
D001,U004,2,3,帝國盾衛,unit,1,1,4,4,5,0.3333333333333333,1.3333333333333333,1.6666666666666667,5,0.3333333333333333,1.3333333333333333,1.6666666666666667,0,0,0,0.0,1,1.5,1.5,0.16666666666666674
D001,U006,2,4,飛龍,unit,3,3,5,5,8,0.75,1.25,2.0,8,0.75,1.25,2.0,0,0,0,0.0,1,2.0,2.0,0.0
D001,U012,2,6,騎士團長,unit,3,3,6,6,9,0.5,1.0,1.5,9,0.5,1.0,1.5,0,0,0,0.0,4,1.5833333333333335,1.5833333333333335,-0.08333333333333348
D001,U011,2,7,遺跡石像,unit,4,4,7,7,11,0.5714285714285714,1.0,1.5714285714285714,11,0.5714285714285714,1.0,1.5714285714285714,0,0,0,0.0,1,1.5714285714285714,1.5714285714285714,0.0
D002,U005,3,1,報童,unit,1,1,1,1,2,1.0,1.0,2.0,2,1.0,1.0,2.0,0,0,0,0.0,2,2.6666666666666665,3.0,-0.6666666666666665
D002,U007,3,1,小精靈,unit,1,1,2,2,3,1.0,2.0,3.0,3,1.0,2.0,3.0,0,0,0,0.0,2,2.6666666666666665,3.0,0.3333333333333335
D002,U008,3,2,精靈遊俠,unit,2,2,3,3,5,1.0,1.5,2.5,5,1.0,1.5,2.5,0,0,0,0.0,1,2.1666666666666665,2.5,0.3333333333333335
D002,U010,2,3,慈愛精靈,unit,1,1,3,3,4,0.3333333333333333,1.0,1.3333333333333333,4,0.3333333333333333,1.0,1.3333333333333333,0,0,0,0.0,2,1.5,1.5,-0.16666666666666674
D002,U009,2,5,大樹守衛,unit,2,2,5,5,7,0.4,1.0,1.4,7,0.4,1.0,1.4,0,0,0,0.0,2,1.4,1.4,0.0
D002,U013,2,6,聖獸,unit,3,3,7,7,10,0.5,1.1666666666666667,1.6666666666666667,10,0.5,1.1666666666666667,1.6666666666666667,0,0,0,0.0,1,1.5833333333333335,1.5833333333333335,0.08333333333333326
