"game_id","seed","created_at","event_count","cards_played","responses_played","attacks_declared","transforms","units_died","triggers_queued","state_based_passes","cards_drawn","healing_done","combat_damage_to_leader","combat_damage_to_unit","effect_damage","winner_index","first_player_index","turn_number","active_player_index","leader_hp_p1","leader_hp_p2","deck_id_p1","deck_id_p2","hand_p1","hand_p2","battlefield_p1","battlefield_p2","rules_version","commit_hash"
"bbee786cc04f408d947da3601e78b517","187284083","2026-08-24T23:30:49.690486+00:00","401","28","3","23","9","0","44","159","31","0","0","0","0","0","0","12","1","17","16","D001","D002","2","8","4","1","v0.1.1-M3.7.3",""
"593ff0154f294498ad11b9a1a63302b5","1486144266","2026-08-24T23:30:49.712707+00:00","469","34","2","28","12","0","55","189","32","0","0","0","0","0","0","13","1","12","16","D001","D002","2","4","4","1","v0.1.1-M3.7.3",""
"37f8ce9b54d44e9a91ffb959c6bee37a","805956220","2026-08-24T23:30:49.736510+00:00","491","35","4","30","10","0","59","199","32","0","0","0","0","0","0","13","1","16","18","D001","D002","0","3","2","1","v0.1.1-M3.7.3",""
"dec9677793ba493f8bac8df4ea3b2760","769674534","2026-08-24T23:30:49.758295+00:00","486","32","5","31","8","0","54","191","34","0","0","0","0","0","1","15","1","3","23","D001","D002","4","3","0","4","v0.1.1-M3.7.3",""
"6a276524916b44a4919cd681d305caa0","1916529359","2026-08-24T23:30:49.779373+00:00","211","12","1","15","6","0","18","85","16","0","0","0","0","0","0","7","0","24","0","D001","D002","4","9","5","1","v0.1.1-M3.7.3",""
"63d7fa1ae92a4a4d8c0432e23df47373","513003890","2026-08-24T23:30:49.788222+00:00","311","22","4","17","5","0","36","122","24","0","0","0","0","0","1","11","0","24","0","D001","D002","3","5","4","1","v0.1.1-M3.7.3",""
"a6bb338b7059476aa887767611dadac2","748684864","2026-08-24T23:30:49.801540+00:00","395","27","4","23","10","0","45","151","31","0","0","0","0","0","1","12","1","9","19","D001","D002","4","6","5","2","v0.1.1-M3.7.3",""
"545269b041104f9db989c43959020343","659495265","2026-08-24T23:30:49.818069+00:00","484","34","6","30","9","0","57","197","31","0","0","0","0","0","0","12","1","19","13","D001","D002","0","1","2","2","v0.1.1-M3.7.3",""
"d84f51512c3b4b60a9d4d6d7afc3de54","502718922","2026-08-24T23:30:49.839063+00:00","361","25","0","21","10","0","43","143","29","0","0","0","0","0","0","10","1","19","13","D001","D002","4","10","3","0","v0.1.1-M3.7.3",""
"e8e4ff5aa5924369b7f9d34f9fb9b391","1006275023","2026-08-24T23:30:49.854418+00:00","353","27","1","20","9","0","39","139","29","0","0","0","0","0","0","10","1","12","18","D001","D002","2","9","2","4","v0.1.1-M3.7.3",""
