deck_id,card_id,played_instances,games_played,transformed_instances,games_transformed,avg_transform_turn,wins_when_transformed,transform_game_win_rate,transform_rate_per_play,on_flip_trigger_count,on_flip_trigger_per_transform,deck_win_rate,win_rate_delta_when_transformed
D001,U004,5646,4025,4806,3641,7.822305451518934,4353,0.9057428214731585,0.8512221041445271,4806,1.0,0.8912,0.014542821473158551
D001,U011,4590,3572,3264,2817,10.454656862745098,3087,0.9457720588235294,0.7111111111111111,3264,1.0,0.8912,0.054572058823529446
D001,U012,5046,3867,3521,2755,9.536779324055667,3462,0.9832433967622835,0.6977804201347602,3521,1.0,0.8912,0.09204339676228346
D001,U001,8859,4688,3441,2677,5.976460331299041,3264,0.948561464690497,0.388418557399255,3441,1.0,0.8912,0.057361464690496966
D001,U006,5534,4064,1455,1348,9.446735395189004,1433,0.9848797250859107,0.26292013010480664,1455,1.0,0.8912,0.09367972508591071
D001,U002,8690,4638,1864,1585,8.068669527896995,1825,0.9790772532188842,0.2144994246260069,1864,1.0,0.8912,0.08787725321888418
D001,U003,8715,4615,218,215,9.417431192660551,217,0.9954128440366973,0.025014343086632244,218,1.0,0.8912,0.10421284403669728
D001,A001,5814,4133,0,0,,0,,0.0,0,,0.8912,
D001,S002,4933,3151,0,0,,0,,0.0,0,,0.8912,
D002,U007,12248,4896,8859,4538,6.866463483463145,959,0.10825149565413704,0.7233017635532332,8859,1.0,0.1088,-0.0005485043458629546
D002,U005,12173,4885,8174,4349,6.854661120626377,908,0.11108392463909958,0.6714860757413948,8174,1.0,0.1088,0.0022839246390995854
D002,U009,6069,4139,2878,2342,9.789437109103543,413,0.14350243224461431,0.47421321469764377,2878,1.0,0.1088,0.03470243224461432
D002,U013,5409,3831,2221,1736,10.638901395767672,16,0.007203962179198559,0.4106119430578665,2221,1.0,0.1088,-0.10159603782080144
D002,U008,11475,4890,3194,2464,6.54539762053851,773,0.24201628052598623,0.2783442265795207,3194,1.0,0.1088,0.13321628052598622
D002,U010,7194,4527,677,638,9.537666174298375,203,0.2998522895125554,0.09410619961078677,677,1.0,0.1088,0.19105228951255537
D002,S001,12461,4916,0,0,,0,,0.0,0,,0.1088,
D002,S003,7218,4572,0,0,,0,,0.0,0,,0.1088,
D002,A002,6556,4351,0,0,,0,,0.0,0,,0.1088,
