metric,D001,D002,D001_minus_D002
avg_combat_damage_leader,0.0,0.0,0.0
avg_effect_damage_leader,0.0,0.0,0.0
avg_total_leader_damage,0.0,0.0,0.0
avg_combat_damage_unit,0.0,0.0,0.0
avg_effect_damage_unit,0.0,0.0,0.0
avg_total_damage,0.0,0.0,0.0
avg_total_healing,0.0,0.0,0.0
avg_leader_healing,0.0,0.0,0.0
avg_unit_healing,0.0,0.0,0.0
avg_lifesteal_healing,0.0,0.0,0.0
avg_effect_healing,0.0,0.0,0.0
avg_max_health_sync_healing,0.0,0.0,0.0
avg_transform_max_health_sync_healing,0.0,0.0,0.0
avg_overheal,0.0,0.0,0.0
healing_efficiency,,,
leader_damage_combat_share,,,
leader_damage_effect_share,,,
avg_net_leader_pressure,0.0,0.0,0.0
