pairing,mirror_group,mirror_side,game_seed,bot_p1,bot_p2,deck_p1,deck_p2,winner_index,winning_bot,winning_deck,turn_number,actions,status,reason
heuristic_vs_heuristic,1,A,458846213,heuristic,heuristic,D001,D002,0,heuristic,D001,12,186,finished,
heuristic_vs_heuristic,1,B,458846213,heuristic,heuristic,D002,D001,0,heuristic,D002,9,122,finished,
heuristic_vs_heuristic,2,A,716978937,heuristic,heuristic,D001,D002,0,heuristic,D001,10,158,finished,
heuristic_vs_heuristic,2,B,716978937,heuristic,heuristic,D002,D001,0,heuristic,D002,8,137,finished,
heuristic_vs_heuristic,3,A,1236657354,heuristic,heuristic,D001,D002,1,heuristic,D002,11,184,finished,
heuristic_vs_heuristic,3,B,1236657354,heuristic,heuristic,D002,D001,1,heuristic,D001,12,214,finished,
heuristic_vs_heuristic,4,A,452296007,heuristic,heuristic,D001,D002,0,heuristic,D001,11,189,finished,
heuristic_vs_heuristic,4,B,452296007,heuristic,heuristic,D002,D001,0,heuristic,D002,9,136,finished,
heuristic_vs_heuristic,5,A,2056935857,heuristic,heuristic,D001,D002,1,heuristic,D002,11,195,finished,
heuristic_vs_heuristic,5,B,2056935857,heuristic,heuristic,D002,D001,0,heuristic,D002,8,131,finished,
heuristic_vs_heuristic,6,A,590794450,heuristic,heuristic,D001,D002,1,heuristic,D002,8,136,finished,
heuristic_vs_heuristic,6,B,590794450,heuristic,heuristic,D002,D001,1,heuristic,D001,8,132,finished,
heuristic_vs_heuristic,7,A,910382234,heuristic,heuristic,D001,D002,1,heuristic,D002,11,163,finished,
heuristic_vs_heuristic,7,B,910382234,heuristic,heuristic,D002,D001,1,heuristic,D001,11,194,finished,
heuristic_vs_heuristic,8,A,350547381,heuristic,heuristic,D001,D002,0,heuristic,D001,7,106,finished,
heuristic_vs_heuristic,8,B,350547381,heuristic,heuristic,D002,D001,1,heuristic,D001,10,213,finished,
heuristic_vs_heuristic,9,A,846959362,heuristic,heuristic,D001,D002,0,heuristic,D001,12,215,finished,
heuristic_vs_heuristic,9,B,846959362,heuristic,heuristic,D002,D001,1,heuristic,D001,9,147,finished,
heuristic_vs_heuristic,10,A,1821828411,heuristic,heuristic,D001,D002,0,heuristic,D001,11,194,finished,
heuristic_vs_heuristic,10,B,1821828411,heuristic,heuristic,D002,D001,1,heuristic,D001,12,197,finished,
heuristic_vs_heuristic,11,A,946962111,heuristic,heuristic,D001,D002,1,heuristic,D002,11,220,finished,
heuristic_vs_heuristic,11,B,946962111,heuristic,heuristic,D002,D001,0,heuristic,D002,10,199,finished,
heuristic_vs_heuristic,12,A,978544412,heuristic,heuristic,D001,D002,0,heuristic,D001,11,199,finished,
heuristic_vs_heuristic,12,B,978544412,heuristic,heuristic,D002,D001,0,heuristic,D002,11,203,finished,
heuristic_vs_heuristic,13,A,1522512654,heuristic,heuristic,D001,D002,1,heuristic,D002,10,200,finished,
heuristic_vs_heuristic,13,B,1522512654,heuristic,heuristic,D002,D001,1,heuristic,D001,10,179,finished,
heuristic_vs_heuristic,14,A,657521298,heuristic,heuristic,D001,D002,1,heuristic,D002,15,233,finished,
heuristic_vs_heuristic,14,B,657521298,heuristic,heuristic,D002,D001,1,heuristic,D001,14,211,finished,
heuristic_vs_heuristic,15,A,1820762748,heuristic,heuristic,D001,D002,1,heuristic,D002,9,137,finished,
heuristic_vs_heuristic,15,B,1820762748,heuristic,heuristic,D002,D001,0,heuristic,D002,12,178,finished,
heuristic_vs_heuristic,16,A,1450133764,heuristic,heuristic,D001,D002,1,heuristic,D002,8,137,finished,
heuristic_vs_heuristic,16,B,1450133764,heuristic,heuristic,D002,D001,1,heuristic,D001,13,202,finished,
heuristic_vs_heuristic,17,A,2059673380,heuristic,heuristic,D001,D002,1,heuristic,D002,8,141,finished,
heuristic_vs_heuristic,17,B,2059673380,heuristic,heuristic,D002,D001,1,heuristic,D001,14,205,finished,
heuristic_vs_heuristic,18,A,2082722518,heuristic,heuristic,D001,D002,1,heuristic,D002,7,115,finished,
heuristic_vs_heuristic,18,B,2082722518,heuristic,heuristic,D002,D001,1,heuristic,D001,12,181,finished,
heuristic_vs_heuristic,19,A,1475491126,heuristic,heuristic,D001,D002,0,heuristic,D001,11,202,finished,
heuristic_vs_heuristic,19,B,1475491126,heuristic,heuristic,D002,D001,1,heuristic,D001,13,210,finished,
