pairing,mirror_group,mirror_side,game_seed,bot_p1,bot_p2,deck_p1,deck_p2,winner_index,winning_bot,winning_deck,turn_number,actions,status,reason
random_vs_random,1,A,1186231117,random,random,D001,D002,1,random,D002,9,112,finished,
random_vs_random,1,B,1186231117,random,random,D002,D001,1,random,D001,10,132,finished,
random_vs_random,2,A,380295514,random,random,D001,D002,1,random,D002,11,127,finished,
random_vs_random,2,B,380295514,random,random,D002,D001,1,random,D001,12,139,finished,
random_vs_random,3,A,1922342486,random,random,D001,D002,0,random,D001,13,179,finished,
random_vs_random,3,B,1922342486,random,random,D002,D001,1,random,D001,14,148,finished,
random_vs_random,4,A,1951300853,random,random,D001,D002,0,random,D001,14,169,finished,
random_vs_random,4,B,1951300853,random,random,D002,D001,1,random,D001,14,152,finished,
random_vs_random,5,A,2017312702,random,random,D001,D002,0,random,D001,12,150,finished,
random_vs_random,5,B,2017312702,random,random,D002,D001,1,random,D001,13,144,finished,
random_vs_random,6,A,278541414,random,random,D001,D002,0,random,D001,13,168,finished,
random_vs_random,6,B,278541414,random,random,D002,D001,1,random,D001,10,119,finished,
random_vs_random,7,A,1615416175,random,random,D001,D002,0,random,D001,18,194,finished,
random_vs_random,7,B,1615416175,random,random,D002,D001,1,random,D001,11,131,finished,
random_vs_random,8,A,1623095780,random,random,D001,D002,0,random,D001,16,214,finished,
random_vs_random,8,B,1623095780,random,random,D002,D001,1,random,D001,16,226,finished,
random_vs_random,9,A,1358092188,random,random,D001,D002,0,random,D001,12,161,finished,
random_vs_random,9,B,1358092188,random,random,D002,D001,1,random,D001,12,168,finished,
random_vs_random,10,A,1037631923,random,random,D001,D002,0,random,D001,12,188,finished,
random_vs_random,10,B,1037631923,random,random,D002,D001,1,random,D001,14,160,finished,
random_vs_random,11,A,433185374,random,random,D001,D002,0,random,D001,14,190,finished,
random_vs_random,11,B,433185374,random,random,D002,D001,1,random,D001,10,131,finished,
random_vs_random,12,A,2119576050,random,random,D001,D002,0,random,D001,12,157,finished,
random_vs_random,12,B,2119576050,random,random,D002,D001,0,random,D002,12,180,finished,
random_vs_random,13,A,697787360,random,random,D001,D002,0,random,D001,13,169,finished,
random_vs_random,13,B,697787360,random,random,D002,D001,1,random,D001,12,139,finished,
random_vs_random,14,A,1276924082,random,random,D001,D002,0,random,D001,14,191,finished,
random_vs_random,14,B,1276924082,random,random,D002,D001,1,random,D001,14,179,finished,
random_vs_random,15,A,775669318,random,random,D001,D002,0,random,D001,13,148,finished,
random_vs_random,15,B,775669318,random,random,D002,D001,0,random,D002,14,162,finished,
