pairing,mirror_group,mirror_side,game_seed,bot_p1,bot_p2,deck_p1,deck_p2,winner_index,winning_bot,winning_deck,turn_number,actions,status,reason
random_vs_random,1,A,478163327,random,random,D001,D002,0,random,D001,14,159,finished,
random_vs_random,1,B,478163327,random,random,D002,D001,1,random,D001,11,132,finished,
random_vs_random,2,A,1051802512,random,random,D001,D002,0,random,D001,12,142,finished,
random_vs_random,2,B,1051802512,random,random,D002,D001,1,random,D001,15,187,finished,
random_vs_random,3,A,440213415,random,random,D001,D002,1,random,D002,14,155,finished,
random_vs_random,3,B,440213415,random,random,D002,D001,1,random,D001,15,188,finished,
random_vs_random,4,A,136505587,random,random,D001,D002,0,random,D001,11,156,finished,
random_vs_random,4,B,136505587,random,random,D002,D001,1,random,D001,10,110,finished,
random_vs_random,5,A,939042955,random,random,D001,D002,0,random,D001,13,174,finished,
random_vs_random,5,B,939042955,random,random,D002,D001,1,random,D001,12,141,finished,
random_vs_random,6,A,854001193,random,random,D001,D002,0,random,D001,12,165,finished,
random_vs_random,6,B,854001193,random,random,D002,D001,1,random,D001,11,113,finished,
random_vs_random,7,A,1929338154,random,random,D001,D002,0,random,D001,14,200,finished,
random_vs_random,7,B,1929338154,random,random,D002,D001,1,random,D001,10,94,finished,
random_vs_random,8,A,685731524,random,random,D001,D002,0,random,D001,15,194,finished,
random_vs_random,8,B,685731524,random,random,D002,D001,1,random,D001,13,155,finished,
random_vs_random,9,A,1193448329,random,random,D001,D002,0,random,D001,11,131,finished,
random_vs_random,9,B,1193448329,random,random,D002,D001,1,random,D001,14,180,finished,
random_vs_random,10,A,1445662585,random,random,D001,D002,0,random,D001,14,189,finished,
random_vs_random,10,B,1445662585,random,random,D002,D001,1,random,D001,13,148,finished,
heuristic_vs_random,1,A,1220134010,heuristic,random,D001,D002,0,heuristic,D001,12,170,finished,
heuristic_vs_random,1,B,1220134010,heuristic,random,D002,D001,1,random,D001,13,169,finished,
heuristic_vs_random,2,A,1088114372,heuristic,random,D001,D002,0,heuristic,D001,12,126,finished,
heuristic_vs_random,2,B,1088114372,heuristic,random,D002,D001,1,random,D001,13,159,finished,
heuristic_vs_random,3,A,1483304959,heuristic,random,D001,D002,0,heuristic,D001,12,151,finished,
heuristic_vs_random,3,B,1483304959,heuristic,random,D002,D001,1,random,D001,12,145,finished,
heuristic_vs_random,4,A,1731827867,heuristic,random,D001,D002,1,random,D002,10,137,finished,
heuristic_vs_random,4,B,1731827867,heuristic,random,D002,D001,1,random,D001,15,174,finished,
heuristic_vs_random,5,A,1403100199,heuristic,random,D001,D002,0,heuristic,D001,10,107,finished,
heuristic_vs_random,5,B,1403100199,heuristic,random,D002,D001,1,random,D001,12,145,finished,
heuristic_vs_random,6,A,1031836319,heuristic,random,D001,D002,0,heuristic,D001,11,150,finished,
heuristic_vs_random,6,B,1031836319,heuristic,random,D002,D001,1,random,D001,13,196,finished,
heuristic_vs_random,7,A,123194438,heuristic,random,D001,D002,0,heuristic,D001,13,174,finished,
heuristic_vs_random,7,B,123194438,heuristic,random,D002,D001,0,heuristic,D002,10,167,finished,
heuristic_vs_random,8,A,1334662560,heuristic,random,D001,D002,0,heuristic,D001,11,148,finished,
heuristic_vs_random,8,B,1334662560,heuristic,random,D002,D001,1,random,D001,15,174,finished,
heuristic_vs_random,9,A,1180006217,heuristic,random,D001,D002,0,heuristic,D001,14,201,finished,
heuristic_vs_random,9,B,1180006217,heuristic,random,D002,D001,1,random,D001,12,137,finished,
heuristic_vs_random,10,A,473164854,heuristic,random,D001,D002,0,heuristic,D001,10,166,finished,
heuristic_vs_random,10,B,473164854,heuristic,random,D002,D001,1,random,D001,14,178,finished,
random_vs_heuristic,1,A,1285120978,random,heuristic,D001,D002,0,random,D001,15,185,finished,
random_vs_heuristic,1,B,1285120978,random,heuristic,D002,D001,0,random,D002,9,116,finished,
random_vs_heuristic,2,A,706082783,random,heuristic,D001,D002,0,random,D001,13,200,finished,
random_vs_heuristic,2,B,706082783,random,heuristic,D002,D001,1,heuristic,D001,12,129,finished,
random_vs_heuristic,3,A,795677589,random,heuristic,D001,D002,0,random,D001,13,179,finished,
random_vs_heuristic,3,B,795677589,random,heuristic,D002,D001,1,heuristic,D001,10,104,finished,
random_vs_heuristic,4,A,1895843113,random,heuristic,D001,D002,0,random,D001,12,144,finished,
random_vs_heuristic,4,B,1895843113,random,heuristic,D002,D001,1,heuristic,D001,12,160,finished,
random_vs_heuristic,5,A,307853806,random,heuristic,D001,D002,0,random,D001,13,148,finished,
random_vs_heuristic,5,B,307853806,random,heuristic,D002,D001,1,heuristic,D001,12,136,finished,
random_vs_heuristic,6,A,1377043757,random,heuristic,D001,D002,0,random,D001,11,132,finished,
random_vs_heuristic,6,B,1377043757,random,heuristic,D002,D001,1,heuristic,D001,13,174,finished,
random_vs_heuristic,7,A,1441936833,random,heuristic,D001,D002,1,heuristic,D002,13,135,finished,
random_vs_heuristic,7,B,1441936833,random,heuristic,D002,D001,1,heuristic,D001,14,166,finished,
random_vs_heuristic,8,A,1611360780,random,heuristic,D001,D002,0,random,D001,15,180,finished,
random_vs_heuristic,8,B,1611360780,random,heuristic,D002,D001,1,heuristic,D001,15,170,finished,
random_vs_heuristic,9,A,35876148,random,heuristic,D001,D002,0,random,D001,12,154,finished,
random_vs_heuristic,9,B,35876148,random,heuristic,D002,D001,1,heuristic,D001,14,167,finished,
random_vs_heuristic,10,A,740742081,random,heuristic,D001,D002,0,random,D001,13,157,finished,
random_vs_heuristic,10,B,740742081,random,heuristic,D002,D001,1,heuristic,D001,10,138,finished,
heuristic_vs_heuristic,1,A,1594463272,heuristic,heuristic,D001,D002,0,heuristic,D001,13,162,finished,
heuristic_vs_heuristic,1,B,1594463272,heuristic,heuristic,D002,D001,0,heuristic,D002,11,152,finished,
heuristic_vs_heuristic,2,A,316659339,heuristic,heuristic,D001,D002,1,heuristic,D002,9,95,finished,
heuristic_vs_heuristic,2,B,316659339,heuristic,heuristic,D002,D001,1,heuristic,D001,13,180,finished,
heuristic_vs_heuristic,3,A,1949862049,heuristic,heuristic,D001,D002,1,heuristic,D002,12,175,finished,
heuristic_vs_heuristic,3,B,1949862049,heuristic,heuristic,D002,D001,1,heuristic,D001,14,147,finished,
heuristic_vs_heuristic,4,A,178566209,heuristic,heuristic,D001,D002,0,heuristic,D001,12,138,finished,
heuristic_vs_heuristic,4,B,178566209,heuristic,heuristic,D002,D001,1,heuristic,D001,15,187,finished,
heuristic_vs_heuristic,5,A,1746881613,heuristic,heuristic,D001,D002,1,heuristic,D002,10,127,finished,
heuristic_vs_heuristic,5,B,1746881613,heuristic,heuristic,D002,D001,1,heuristic,D001,16,197,finished,
heuristic_vs_heuristic,6,A,1750307620,heuristic,heuristic,D001,D002,0,heuristic,D001,12,154,finished,
heuristic_vs_heuristic,6,B,1750307620,heuristic,heuristic,D002,D001,1,heuristic,D001,14,158,finished,
heuristic_vs_heuristic,7,A,1052061109,heuristic,heuristic,D001,D002,0,heuristic,D001,12,139,finished,
heuristic_vs_heuristic,7,B,1052061109,heuristic,heuristic,D002,D001,1,heuristic,D001,13,166,finished,
heuristic_vs_heuristic,8,A,1866958825,heuristic,heuristic,D001,D002,0,heuristic,D001,11,141,finished,
heuristic_vs_heuristic,8,B,1866958825,heuristic,heuristic,D002,D001,1,heuristic,D001,12,150,finished,
heuristic_vs_heuristic,9,A,722672497,heuristic,heuristic,D001,D002,0,heuristic,D001,14,157,finished,
heuristic_vs_heuristic,9,B,722672497,heuristic,heuristic,D002,D001,1,heuristic,D001,14,182,finished,
