pairing,mirror_group,mirror_side,game_seed,bot_p1,bot_p2,deck_p1,deck_p2,winner_index,winning_bot,winning_deck,turn_number,actions,status,reason
random_vs_random,1,A,478163327,random,random,D001,D002,0,random,D001,12,129,finished,
random_vs_random,1,B,478163327,random,random,D002,D001,1,random,D001,12,143,finished,
random_vs_random,2,A,1051802512,random,random,D001,D002,0,random,D001,12,145,finished,
random_vs_random,2,B,1051802512,random,random,D002,D001,1,random,D001,14,162,finished,
random_vs_random,3,A,440213415,random,random,D001,D002,1,random,D002,9,103,finished,
random_vs_random,3,B,440213415,random,random,D002,D001,1,random,D001,16,189,finished,
random_vs_random,4,A,136505587,random,random,D001,D002,0,random,D001,11,154,finished,
random_vs_random,4,B,136505587,random,random,D002,D001,1,random,D001,10,110,finished,
random_vs_random,5,A,939042955,random,random,D001,D002,0,random,D001,13,170,finished,
random_vs_random,5,B,939042955,random,random,D002,D001,1,random,D001,13,179,finished,
random_vs_random,6,A,854001193,random,random,D001,D002,0,random,D001,14,160,finished,
random_vs_random,6,B,854001193,random,random,D002,D001,1,random,D001,13,137,finished,
random_vs_random,7,A,1929338154,random,random,D001,D002,1,random,D002,11,137,finished,
random_vs_random,7,B,1929338154,random,random,D002,D001,1,random,D001,10,83,finished,
random_vs_random,8,A,685731524,random,random,D001,D002,0,random,D001,13,189,finished,
random_vs_random,8,B,685731524,random,random,D002,D001,1,random,D001,13,155,finished,
random_vs_random,9,A,1193448329,random,random,D001,D002,0,random,D001,15,175,finished,
random_vs_random,9,B,1193448329,random,random,D002,D001,1,random,D001,15,179,finished,
random_vs_random,10,A,1445662585,random,random,D001,D002,0,random,D001,13,180,finished,
random_vs_random,10,B,1445662585,random,random,D002,D001,1,random,D001,12,158,finished,
random_vs_random,11,A,1631775357,random,random,D001,D002,0,random,D001,12,134,finished,
random_vs_random,11,B,1631775357,random,random,D002,D001,1,random,D001,14,138,finished,
random_vs_random,12,A,1477278577,random,random,D001,D002,0,random,D001,13,167,finished,
random_vs_random,12,B,1477278577,random,random,D002,D001,1,random,D001,14,169,finished,
random_vs_random,13,A,1973214822,random,random,D001,D002,0,random,D001,14,163,finished,
random_vs_random,13,B,1973214822,random,random,D002,D001,1,random,D001,14,179,finished,
random_vs_random,14,A,338444264,random,random,D001,D002,0,random,D001,14,143,finished,
random_vs_random,14,B,338444264,random,random,D002,D001,0,random,D002,14,139,finished,
random_vs_random,15,A,825873196,random,random,D001,D002,0,random,D001,12,155,finished,
random_vs_random,15,B,825873196,random,random,D002,D001,1,random,D001,15,182,finished,
random_vs_random,16,A,978815630,random,random,D001,D002,0,random,D001,12,145,finished,
random_vs_random,16,B,978815630,random,random,D002,D001,1,random,D001,13,135,finished,
random_vs_random,17,A,999829240,random,random,D001,D002,0,random,D001,13,129,finished,
random_vs_random,17,B,999829240,random,random,D002,D001,0,random,D002,16,186,finished,
random_vs_random,18,A,1193887545,random,random,D001,D002,0,random,D001,14,187,finished,
random_vs_random,18,B,1193887545,random,random,D002,D001,1,random,D001,14,166,finished,
random_vs_random,19,A,698594025,random,random,D001,D002,0,random,D001,15,195,finished,
random_vs_random,19,B,698594025,random,random,D002,D001,1,random,D001,11,146,finished,
random_vs_random,20,A,899825838,random,random,D001,D002,0,random,D001,12,147,finished,
random_vs_random,20,B,899825838,random,random,D002,D001,1,random,D001,14,158,finished,
random_vs_random,21,A,735034881,random,random,D001,D002,0,random,D001,15,186,finished,
random_vs_random,21,B,735034881,random,random,D002,D001,1,random,D001,13,125,finished,
random_vs_random,22,A,1985392498,random,random,D001,D002,0,random,D001,12,146,finished,
random_vs_random,22,B,1985392498,random,random,D002,D001,1,random,D001,11,125,finished,
random_vs_random,23,A,943239974,random,random,D001,D002,0,random,D001,14,167,finished,
random_vs_random,23,B,943239974,random,random,D002,D001,1,random,D001,15,186,finished,
random_vs_random,24,A,983753977,random,random,D001,D002,0,random,D001,15,211,finished,
random_vs_random,24,B,983753977,random,random,D002,D001,1,random,D001,12,149,finished,
random_vs_random,25,A,1722989659,random,random,D001,D002,0,random,D001,10,123,finished,
random_vs_random,25,B,1722989659,random,random,D002,D001,1,random,D001,15,202,finished,
random_vs_random,26,A,906164396,random,random,D001,D002,0,random,D001,10,105,finished,
random_vs_random,26,B,906164396,random,random,D002,D001,1,random,D001,15,180,finished,
random_vs_random,27,A,2144181937,random,random,D001,D002,0,random,D001,14,189,finished,
random_vs_random,27,B,2144181937,random,random,D002,D001,1,random,D001,12,148,finished,
random_vs_random,28,A,613628803,random,random,D001,D002,0,random,D001,12,160,finished,
random_vs_random,28,B,613628803,random,random,D002,D001,1,random,D001,13,178,finished,
random_vs_random,29,A,1059257080,random,random,D001,D002,0,random,D001,8,83,finished,
random_vs_random,29,B,1059257080,random,random,D002,D001,1,random,D001,12,151,finished,
random_vs_random,30,A,1715412119,random,random,D001,D002,0,random,D001,17,191,finished,
random_vs_random,30,B,1715412119,random,random,D002,D001,1,random,D001,13,163,finished,
random_vs_random,31,A,594130308,random,random,D001,D002,0,random,D001,13,171,finished,
random_vs_random,31,B,594130308,random,random,D002,D001,1,random,D001,10,137,finished,
random_vs_random,32,A,202363285,random,random,D001,D002,0,random,D001,15,211,finished,
random_vs_random,32,B,202363285,random,random,D002,D001,1,random,D001,12,144,finished,
random_vs_random,33,A,687117441,random,random,D001,D002,0,random,D001,14,180,finished,
random_vs_random,33,B,687117441,random,random,D002,D001,1,random,D001,13,158,finished,
random_vs_random,34,A,1652563013,random,random,D001,D002,1,random,D002,9,141,finished,
random_vs_random,34,B,1652563013,random,random,D002,D001,1,random,D001,15,212,finished,
random_vs_random,35,A,1079815404,random,random,D001,D002,0,random,D001,12,152,finished,
random_vs_random,35,B,1079815404,random,random,D002,D001,1,random,D001,11,152,finished,
random_vs_random,36,A,1146005448,random,random,D001,D002,0,random,D001,16,191,finished,
random_vs_random,36,B,1146005448,random,random,D002,D001,0,random,D002,8,123,finished,
random_vs_random,37,A,1260573448,random,random,D001,D002,0,random,D001,12,157,finished,
random_vs_random,37,B,1260573448,random,random,D002,D001,1,random,D001,14,165,finished,
random_vs_random,38,A,1948728483,random,random,D001,D002,0,random,D001,14,173,finished,
random_vs_random,38,B,1948728483,random,random,D002,D001,1,random,D001,13,128,finished,
random_vs_random,39,A,767303988,random,random,D001,D002,0,random,D001,10,127,finished,
random_vs_random,39,B,767303988,random,random,D002,D001,1,random,D001,13,152,finished,
random_vs_random,40,A,854316681,random,random,D001,D002,0,random,D001,11,116,finished,
random_vs_random,40,B,854316681,random,random,D002,D001,1,random,D001,14,145,finished,
random_vs_random,41,A,693847829,random,random,D001,D002,0,random,D001,16,196,finished,
random_vs_random,41,B,693847829,random,random,D002,D001,1,random,D001,14,180,finished,
random_vs_random,42,A,2098545541,random,random,D001,D002,0,random,D001,13,173,finished,
random_vs_random,42,B,2098545541,random,random,D002,D001,1,random,D001,15,186,finished,
random_vs_random,43,A,1558990517,random,random,D001,D002,0,random,D001,14,173,finished,
random_vs_random,43,B,1558990517,random,random,D002,D001,1,random,D001,11,133,finished,
random_vs_random,44,A,248786714,random,random,D001,D002,0,random,D001,14,180,finished,
random_vs_random,44,B,248786714,random,random,D002,D001,1,random,D001,13,175,finished,
random_vs_random,45,A,367878761,random,random,D001,D002,0,random,D001,14,154,finished,
random_vs_random,45,B,367878761,random,random,D002,D001,1,random,D001,11,108,finished,
random_vs_random,46,A,540137296,random,random,D001,D002,0,random,D001,9,128,finished,
random_vs_random,46,B,540137296,random,random,D002,D001,1,random,D001,11,133,finished,
random_vs_random,47,A,709214891,random,random,D001,D002,0,random,D001,14,198,finished,
random_vs_random,47,B,709214891,random,random,D002,D001,0,random,D002,9,96,finished,
random_vs_random,48,A,909666337,random,random,D001,D002,1,random,D002,8,123,finished,
random_vs_random,48,B,909666337,random,random,D002,D001,1,random,D001,16,185,finished,
random_vs_random,49,A,1713658874,random,random,D001,D002,0,random,D001,12,155,finished,
random_vs_random,49,B,1713658874,random,random,D002,D001,0,random,D002,10,121,finished,
random_vs_random,50,A,1939118223,random,random,D001,D002,0,random,D001,13,164,finished,
random_vs_random,50,B,1939118223,random,random,D002,D001,1,random,D001,16,222,finished,
random_vs_random,51,A,965067727,random,random,D001,D002,0,random,D001,11,115,finished,
random_vs_random,51,B,965067727,random,random,D002,D001,1,random,D001,14,174,finished,
random_vs_random,52,A,90341465,random,random,D001,D002,0,random,D001,12,176,finished,
random_vs_random,52,B,90341465,random,random,D002,D001,0,random,D002,10,134,finished,
random_vs_random,53,A,30884438,random,random,D001,D002,1,random,D002,9,142,finished,
random_vs_random,53,B,30884438,random,random,D002,D001,1,random,D001,15,194,finished,
random_vs_random,54,A,983297492,random,random,D001,D002,0,random,D001,11,116,finished,
random_vs_random,54,B,983297492,random,random,D002,D001,1,random,D001,11,121,finished,
random_vs_random,55,A,1419179580,random,random,D001,D002,0,random,D001,13,169,finished,
random_vs_random,55,B,1419179580,random,random,D002,D001,1,random,D001,10,116,finished,
random_vs_random,56,A,1196050747,random,random,D001,D002,0,random,D001,12,169,finished,
random_vs_random,56,B,1196050747,random,random,D002,D001,1,random,D001,11,148,finished,
random_vs_random,57,A,568275055,random,random,D001,D002,0,random,D001,11,108,finished,
random_vs_random,57,B,568275055,random,random,D002,D001,1,random,D001,14,183,finished,
random_vs_random,58,A,2031403296,random,random,D001,D002,0,random,D001,11,117,finished,
random_vs_random,58,B,2031403296,random,random,D002,D001,0,random,D002,11,145,finished,
random_vs_random,59,A,405126228,random,random,D001,D002,0,random,D001,14,150,finished,
random_vs_random,59,B,405126228,random,random,D002,D001,0,random,D002,12,164,finished,
random_vs_random,60,A,1521696479,random,random,D001,D002,0,random,D001,13,158,finished,
random_vs_random,60,B,1521696479,random,random,D002,D001,1,random,D001,13,174,finished,
random_vs_random,61,A,2005855667,random,random,D001,D002,0,random,D001,14,190,finished,
random_vs_random,61,B,2005855667,random,random,D002,D001,1,random,D001,15,154,finished,
random_vs_random,62,A,260329455,random,random,D001,D002,0,random,D001,12,141,finished,
random_vs_random,62,B,260329455,random,random,D002,D001,1,random,D001,13,187,finished,
random_vs_random,63,A,469306919,random,random,D001,D002,0,random,D001,12,137,finished,
random_vs_random,63,B,469306919,random,random,D002,D001,1,random,D001,15,154,finished,
random_vs_random,64,A,816941039,random,random,D001,D002,0,random,D001,12,132,finished,
random_vs_random,64,B,816941039,random,random,D002,D001,1,random,D001,13,153,finished,
random_vs_random,65,A,1811967841,random,random,D001,D002,0,random,D001,12,137,finished,
random_vs_random,65,B,1811967841,random,random,D002,D001,1,random,D001,13,101,finished,
random_vs_random,66,A,1986972437,random,random,D001,D002,1,random,D002,9,110,finished,
random_vs_random,66,B,1986972437,random,random,D002,D001,1,random,D001,12,140,finished,
random_vs_random,67,A,1903232052,random,random,D001,D002,0,random,D001,13,165,finished,
random_vs_random,67,B,1903232052,random,random,D002,D001,0,random,D002,7,97,finished,
random_vs_random,68,A,63384488,random,random,D001,D002,0,random,D001,13,168,finished,
random_vs_random,68,B,63384488,random,random,D002,D001,1,random,D001,12,173,finished,
random_vs_random,69,A,714300770,random,random,D001,D002,0,random,D001,10,165,finished,
random_vs_random,69,B,714300770,random,random,D002,D001,1,random,D001,15,189,finished,
random_vs_random,70,A,2067418686,random,random,D001,D002,0,random,D001,15,166,finished,
random_vs_random,70,B,2067418686,random,random,D002,D001,0,random,D002,10,96,finished,
random_vs_random,71,A,251837136,random,random,D001,D002,0,random,D001,13,167,finished,
random_vs_random,71,B,251837136,random,random,D002,D001,1,random,D001,13,174,finished,
random_vs_random,72,A,9257255,random,random,D001,D002,0,random,D001,11,132,finished,
random_vs_random,72,B,9257255,random,random,D002,D001,1,random,D001,13,151,finished,
random_vs_random,73,A,1954246074,random,random,D001,D002,0,random,D001,11,141,finished,
random_vs_random,73,B,1954246074,random,random,D002,D001,1,random,D001,11,113,finished,
random_vs_random,74,A,2090237817,random,random,D001,D002,0,random,D001,11,141,finished,
random_vs_random,74,B,2090237817,random,random,D002,D001,0,random,D002,16,189,finished,
random_vs_random,75,A,1274350418,random,random,D001,D002,0,random,D001,13,180,finished,
random_vs_random,75,B,1274350418,random,random,D002,D001,1,random,D001,12,172,finished,
random_vs_random,76,A,261810763,random,random,D001,D002,0,random,D001,11,140,finished,
random_vs_random,76,B,261810763,random,random,D002,D001,1,random,D001,12,123,finished,
random_vs_random,77,A,215359682,random,random,D001,D002,0,random,D001,13,135,finished,
random_vs_random,77,B,215359682,random,random,D002,D001,1,random,D001,16,193,finished,
random_vs_random,78,A,244295904,random,random,D001,D002,0,random,D001,12,139,finished,
random_vs_random,78,B,244295904,random,random,D002,D001,1,random,D001,14,192,finished,
random_vs_random,79,A,294296873,random,random,D001,D002,1,random,D002,14,180,finished,
random_vs_random,79,B,294296873,random,random,D002,D001,1,random,D001,8,114,finished,
random_vs_random,80,A,1734202799,random,random,D001,D002,0,random,D001,9,138,finished,
random_vs_random,80,B,1734202799,random,random,D002,D001,0,random,D002,15,206,finished,
random_vs_random,81,A,170689150,random,random,D001,D002,0,random,D001,13,140,finished,
random_vs_random,81,B,170689150,random,random,D002,D001,1,random,D001,12,149,finished,
random_vs_random,82,A,1358798143,random,random,D001,D002,0,random,D001,13,172,finished,
random_vs_random,82,B,1358798143,random,random,D002,D001,0,random,D002,9,101,finished,
random_vs_random,83,A,1349409434,random,random,D001,D002,0,random,D001,14,168,finished,
random_vs_random,83,B,1349409434,random,random,D002,D001,1,random,D001,14,172,finished,
