pairing,game_number,seed,bot_p1,bot_p2,winner_index,turn_number,actions,status,reason
random_vs_random,1,478163327,random,random,0,12,129,finished,
random_vs_random,2,1051802512,random,random,0,12,145,finished,
random_vs_random,3,440213415,random,random,1,9,103,finished,
random_vs_random,4,136505587,random,random,0,11,154,finished,
random_vs_random,5,939042955,random,random,0,13,170,finished,
random_vs_random,6,854001193,random,random,0,14,160,finished,
random_vs_random,7,1929338154,random,random,1,11,137,finished,
random_vs_random,8,685731524,random,random,0,13,189,finished,
random_vs_random,9,1193448329,random,random,0,15,175,finished,
random_vs_random,10,1445662585,random,random,0,13,180,finished,
random_vs_random,11,1631775357,random,random,0,12,134,finished,
random_vs_random,12,1477278577,random,random,0,13,167,finished,
random_vs_random,13,1973214822,random,random,0,14,163,finished,
random_vs_random,14,338444264,random,random,0,14,143,finished,
random_vs_random,15,825873196,random,random,0,12,155,finished,
random_vs_random,16,978815630,random,random,0,12,145,finished,
random_vs_random,17,999829240,random,random,0,13,129,finished,
random_vs_random,18,1193887545,random,random,0,14,187,finished,
random_vs_random,19,698594025,random,random,0,15,195,finished,
random_vs_random,20,899825838,random,random,0,12,147,finished,
random_vs_random,21,735034881,random,random,0,15,186,finished,
random_vs_random,22,1985392498,random,random,0,12,146,finished,
random_vs_random,23,943239974,random,random,0,14,167,finished,
random_vs_random,24,983753977,random,random,0,15,211,finished,
random_vs_random,25,1722989659,random,random,0,10,123,finished,
random_vs_random,26,906164396,random,random,0,10,105,finished,
random_vs_random,27,2144181937,random,random,0,14,189,finished,
random_vs_random,28,613628803,random,random,0,12,160,finished,
random_vs_random,29,1059257080,random,random,0,8,83,finished,
random_vs_random,30,1715412119,random,random,0,17,191,finished,
random_vs_random,31,594130308,random,random,0,13,171,finished,
random_vs_random,32,202363285,random,random,0,15,211,finished,
random_vs_random,33,687117441,random,random,0,14,180,finished,
random_vs_random,34,1652563013,random,random,1,9,141,finished,
random_vs_random,35,1079815404,random,random,0,12,152,finished,
random_vs_random,36,1146005448,random,random,0,16,191,finished,
random_vs_random,37,1260573448,random,random,0,12,157,finished,
random_vs_random,38,1948728483,random,random,0,14,173,finished,
random_vs_random,39,767303988,random,random,0,10,127,finished,
random_vs_random,40,854316681,random,random,0,11,116,finished,
random_vs_random,41,693847829,random,random,0,16,196,finished,
random_vs_random,42,2098545541,random,random,0,13,173,finished,
random_vs_random,43,1558990517,random,random,0,14,173,finished,
random_vs_random,44,248786714,random,random,0,14,180,finished,
random_vs_random,45,367878761,random,random,0,14,154,finished,
random_vs_random,46,540137296,random,random,0,9,128,finished,
random_vs_random,47,709214891,random,random,0,14,198,finished,
random_vs_random,48,909666337,random,random,1,8,123,finished,
random_vs_random,49,1713658874,random,random,0,12,155,finished,
random_vs_random,50,1939118223,random,random,0,13,164,finished,
random_vs_random,51,965067727,random,random,0,11,115,finished,
random_vs_random,52,90341465,random,random,0,12,176,finished,
random_vs_random,53,30884438,random,random,1,9,142,finished,
random_vs_random,54,983297492,random,random,0,11,116,finished,
random_vs_random,55,1419179580,random,random,0,13,169,finished,
random_vs_random,56,1196050747,random,random,0,12,169,finished,
random_vs_random,57,568275055,random,random,0,11,108,finished,
random_vs_random,58,2031403296,random,random,0,11,117,finished,
random_vs_random,59,405126228,random,random,0,14,150,finished,
random_vs_random,60,1521696479,random,random,0,13,158,finished,
random_vs_random,61,2005855667,random,random,0,14,190,finished,
random_vs_random,62,260329455,random,random,0,12,141,finished,
random_vs_random,63,469306919,random,random,0,12,137,finished,
random_vs_random,64,816941039,random,random,0,12,132,finished,
random_vs_random,65,1811967841,random,random,0,12,137,finished,
random_vs_random,66,1986972437,random,random,1,9,110,finished,
random_vs_random,67,1903232052,random,random,0,13,165,finished,
random_vs_random,68,63384488,random,random,0,13,168,finished,
random_vs_random,69,714300770,random,random,0,10,165,finished,
random_vs_random,70,2067418686,random,random,0,15,166,finished,
random_vs_random,71,251837136,random,random,0,13,167,finished,
random_vs_random,72,9257255,random,random,0,11,132,finished,
random_vs_random,73,1954246074,random,random,0,11,141,finished,
random_vs_random,74,2090237817,random,random,0,11,141,finished,
random_vs_random,75,1274350418,random,random,0,13,180,finished,
random_vs_random,76,261810763,random,random,0,11,140,finished,
random_vs_random,77,215359682,random,random,0,13,135,finished,
random_vs_random,78,244295904,random,random,0,12,139,finished,
random_vs_random,79,294296873,random,random,1,14,180,finished,
random_vs_random,80,1734202799,random,random,0,9,138,finished,
random_vs_random,81,170689150,random,random,0,13,140,finished,
random_vs_random,82,1358798143,random,random,0,13,172,finished,
