simulation_id,game_id,winner_index,turn_number,actions,status,reason
1,7f19909844b64fd7809b420301888c0a,1,11,137,finished,
2,e06ee53138ef4755975b01574efb5ebf,1,13,143,finished,
3,cb7e8715576c405182e0f7ff8894ed73,1,11,116,finished,
4,7decdfb7de374f5b90850cebc8a5d21e,1,11,122,finished,
5,c9bfe71c0c1b4a1a9396114dbc564226,1,9,112,finished,
6,a24b48246d444f2490383a34393b5b60,1,14,201,finished,
7,caa8f9b39cf44acd984f2bbc7aa5d5a7,1,13,181,finished,
8,ae639b97829d4059acde6244513d8c7f,1,11,168,finished,
9,070c25ad54ae48028450046b9c3fd7ba,1,12,148,finished,
10,63161f48446d4a25a71b148dcca4fe91,1,13,178,finished,
11,8bedbabb8fb240dd88a4c2a6d8a9ac6a,1,15,157,finished,
12,839418a8b2f342c8a42c28c485eb6720,1,8,96,finished,
13,9cdca4022e5c4c9785f2587f78eaa460,1,12,144,finished,
14,246a3e500f85409abd835a0b324e2121,1,12,141,finished,
15,b6dff11578214c568315652980c9e0cb,1,12,130,finished,
16,0220f8583e7a4ab68a98388f7a146675,1,13,170,finished,
17,cc328c5b6ed147688baccb5e7dc7785c,1,13,181,finished,
18,eb18ad1a952a46259c66907da808872f,1,11,139,finished,
19,bfca4bbe2b8c411988013ea4817ce280,1,10,132,finished,
20,6b0bf1c51cc347bb874fa525a8f3c24d,1,13,153,finished,
21,af1556a8a620436796ce2d739cc34578,1,11,121,finished,
22,8ea8bd99440e45869bfe7fe35ed57a3b,1,14,122,finished,
23,80f0f0b9d85e458a9d68fac1cd6e5938,1,13,166,finished,
24,b096f25c3d914976bf329572c7d0d928,1,13,177,finished,
25,38b6410e565444c1921f6c7a1b8ec8f9,1,12,192,finished,
26,d3289140c82c4780b32e10e4502fe560,1,13,108,finished,
27,254b771a1aef41469da43feff95cfde6,1,12,139,finished,
28,1b0f3d83b1bf464689fb5870c23360d3,1,13,159,finished,
29,6784de142e454f06842cf3e11cff1e54,1,15,174,finished,
30,641b853753f54ec5afe5a29bbb0ab2e2,1,10,103,finished,
31,7f8fee94650f4f6ab622033ef1f8121b,1,14,174,finished,
32,281603b0c7114a118281bcee90e8f99d,1,14,167,finished,
33,b3f6c13420744912b3491c9a480f7886,1,13,198,finished,
34,b32da4bd3e8b438da2375951d711f8ec,1,12,145,finished,
35,e9ba31013fa74284b94181e5c7aee268,1,15,168,finished,
36,b2755280832949298b5a908032e136fa,1,13,150,finished,
37,2af241240d774053ab39a01142724a4f,0,11,127,finished,
38,5450c6f2b8314b33be03a7d0d7259746,1,12,135,finished,
39,16299c4e99fb428a94a2958586e98b3d,1,16,216,finished,
40,8a3b3f43d80243beac52d8c21e30e4a1,1,12,137,finished,
41,0418f3c941254c30b777490fdae7d69b,1,15,158,finished,
42,83d4cf341556463689b5b2d3195a80f8,1,13,120,finished,
43,8fe605062591402ebfbcda7d1024b1ea,1,13,138,finished,
44,3e30ea3846fe467eb5917e99e8db80c1,1,11,114,finished,
45,e0d7f3c7843a4f02963ef14fab6252d1,1,7,77,finished,
46,a1b30d340d8e43eeba0d0c95c72bbf8e,1,11,127,finished,
47,a449f378e42a46b2a15bda3e5e63bc65,1,13,155,finished,
48,76ffe13fceb04293bfa0891108f6233e,1,10,135,finished,
49,0cc2c4e514d74b4894be0c2468b7c2be,1,14,186,finished,
50,e3adcbb094f24847890d51fdff088718,1,15,190,finished,
51,e0c269b8055a4764aa2dbe19e524ee2c,1,14,183,finished,
52,80fd7a56697b47bead33464a44819bf5,1,14,149,finished,
53,724e1c592a1f48b1b69a2ea88e30ffe7,1,12,138,finished,
54,71fcb6e9fcef497bb4722305fcf69876,1,16,162,finished,
55,d3f6fd7865c840e6bd9e61e905de35f6,1,14,140,finished,
56,c33e8ae185364edc90a43b3f74a35309,1,14,149,finished,
57,f06a13d676b54fcdae7c5d4f961e8502,0,12,191,finished,
58,343cca92802a44d28bb3b9fff28cd772,1,16,193,finished,
59,7c8a11ac248c4360b1af2169696a0ebb,1,10,128,finished,
60,11f0430b2d274e33b3de690ce29447dd,1,8,87,finished,
61,5635db664f1b4ca8bd22ed770663c2bf,1,14,220,finished,
62,289d91a9de4145a29a9c10f58d85235d,1,11,124,finished,
63,94c505880f02438f87512bb1c94621d0,1,14,168,finished,
64,31ff764e152544eda5ce400053e03ef9,1,12,118,finished,
65,af590ddf5e434b90af2b93661cb8621d,0,11,134,finished,
66,1d3317fea8a94105a9e36206e034c1f3,1,12,167,finished,
67,fb1f839af5e84289a802445ee8109da3,1,11,143,finished,
68,7c5c3830c5dc4dcaa74d3c4619855fd2,1,14,181,finished,
69,8da2e653bd27490898af091e84a27b71,1,12,138,finished,
70,e46ee08dc9b442bfa844c9dafe0ffc27,1,11,145,finished,
71,21c1cdb483694e1cae8544786534341f,0,13,156,finished,
72,9ab96559378648c3bd8b2fbc4d157443,1,12,121,finished,
73,9eeae284d22f4339b0aa2fd266517323,1,12,132,finished,
74,31c0b17d15584d32a9fae2429fd98628,1,12,145,finished,
75,bee4c5adcd8e406bb09de1a59e3f8b4a,1,13,161,finished,
76,55ae2ea22fc64aadbb4d986c35d05a4c,1,13,182,finished,
77,df85f7904721443083264b99a1eee53f,0,13,186,finished,
78,3ebff9c3d075475d9792b2f2ed042667,1,14,153,finished,
79,f2757de7dce24470995ff0595b91f97e,1,13,164,finished,
80,0dba73ad4cad452e9a20316b28218fe0,1,12,143,finished,
81,5a69120349774fef879f097ea8a84f3b,1,13,165,finished,
82,64184e66c62e4067aee876b3e0203cf7,1,12,144,finished,
83,3a9bcc290d954b9d8eb98c3e218112bb,1,14,189,finished,
84,b7de9a6872824686905ae81d340f7bd9,1,14,177,finished,
85,9ec6fddadcf242ca98b2c210e472f73b,1,14,131,finished,
86,21d5de54621d4738b576063bd0fd9ffc,1,14,166,finished,
87,814cd6a1eb7a4f75aa77ad55df5564ac,1,11,110,finished,
88,8b45095ac36248b4b8fffdff8e6fa793,1,14,177,finished,
89,f9b4683834b746b2ba2cb12cc7d0e886,1,9,107,finished,
90,95844613973c4bd6972781188e7b394f,1,12,119,finished,
91,3c997df20a92419e9cb047110ae4095a,1,15,178,finished,
92,9c6731d5bec1405b8d27e93ff8822e2d,0,8,123,finished,
93,b7e6d37046dd4b009d16f3551fae6239,1,14,162,finished,
94,899e3b74273c43a68d12de268e65c9a7,1,13,138,finished,
95,2c263975d2054e6394d029ca0fb1bee7,1,11,153,finished,
96,7456a18142124583bb16609ec061c553,0,8,123,finished,
97,b3425bdb62a14ace96f7c2e531f89b2d,1,13,163,finished,
98,ce3c6298a088442ea6fd2896cc103785,0,15,195,finished,
99,1ccb3dc677994acd8954ae6a4d8f7883,1,16,165,finished,
100,96a70efb9e4e4692ab4ffbdf85919527,1,14,151,finished,
101,4d45646aff284071a910b1a8941a85d6,1,13,151,finished,
102,184c9120a1e24ca3b7484ae18cb41f8c,1,17,205,finished,
103,13e7446b0b95411aa6e9d31d002d8791,1,9,115,finished,
104,bfbaf596d3ea49d7a90080fe17ea75e8,1,12,147,finished,
105,3b7bb68e2db744359951f21bb5ab5471,1,12,182,finished,
106,2325455dbd6948e8a21b54172c3f37dd,1,13,180,finished,
107,2a4242149bb742d3a6e3e184e2845dbb,1,12,149,finished,
108,60a3919931b647e9a98592bc09ce3aa2,1,15,160,finished,
109,351fc2d40c384d42a037f92a6d24967d,1,12,143,finished,
110,379ff417aca3447494e2f61a58677c9c,1,13,163,finished,
111,dd44582d7c414d19a0d37fe897f27e51,1,12,162,finished,
112,74961c61b2724d6eac7d7c5cbdbdf19a,1,13,153,finished,
113,1f29efb776a4488eafc1216b732a81fe,1,15,190,finished,
114,8146b13871f945149c97829f09962137,1,14,126,finished,
115,4d5473e3e30746ca96c2386ab48c14b6,1,14,169,finished,
116,6f5a5d724c5d467b8b1f691cd80d8eb4,0,13,165,finished,
117,6ef8b63cb47944c599320f7475de374a,0,12,171,finished,
118,67661a10b3a24c3884772afa6e4320e3,0,13,160,finished,
119,fb84560934ee4acc827c163e144c7a37,1,13,178,finished,
120,36eec7def5da4052a48917413ee5df85,1,14,197,finished,
121,170ebd853cc24ed5923cdd333dc4422c,1,16,175,finished,
122,90f2a9b8711749e3aee49bdcfd62d968,1,13,125,finished,
123,fff54f91467342b7837a02b23d13386f,1,14,177,finished,
124,61a5332fb9ac4f14b0cc7ce41b6034f7,1,14,165,finished,
125,db8dc74f2be94c51b0f0ca5e9d3a2512,1,16,191,finished,
126,1a0ac8f1e46d434b8748b23fea18801e,1,11,139,finished,
127,8d97ca46ab4f4ec884d128ad632df507,1,9,116,finished,
128,e78fddfe7f4a4011a66e6634921fdc54,1,10,108,finished,
129,46e9b93532bc4bd381668de7e7e9a418,1,13,137,finished,
130,36c51b6d77ab4052afd236e66131a20c,0,10,94,finished,
131,9c979d27753348369c9f84a2c09add65,1,11,96,finished,
132,d5e557b86b6c46cf8f363b46c7bd8584,1,13,145,finished,
133,4d974c7b7d0b4acfb2bec654cadeb21c,1,12,148,finished,
134,63ff46de3d2b4a7ca8dd36227d7e12da,1,12,107,finished,
135,211433b843ac47f492ee5eeb53430ec7,1,10,95,finished,
136,795942644465409eb583b497d3e80514,0,5,61,finished,
137,96d5bc2ee2064375a56496f538ea6677,1,14,174,finished,
138,bdde72784be04909b38545557d33bd21,1,15,158,finished,
139,774b400a2d154335b1dd771bb57791fa,1,14,142,finished,
140,24bcdebd4dd9491aaf4cf0048064d630,1,14,180,finished,
141,c536517604f04225a8430ba58c7f2149,1,14,166,finished,
142,2984c6a9bac24761bf5e5d71ce505152,1,11,123,finished,
143,0e531c0939164992963ddb2fd3447138,1,11,141,finished,
144,375e23f84b1c4512828538cc4b5cbb7e,1,15,176,finished,
145,526361f263b641ad9b34ca870472c1a2,1,14,164,finished,
146,7557b44fcfc8463699e55b77af346a58,1,11,150,finished,
147,c38cde5d7c534fa48778d91b78fad698,1,14,179,finished,
148,afc343e146cd41b287827d64434fcf1f,1,10,146,finished,
149,18c6441d21934aa49e34f60d5cc54842,0,12,126,finished,
150,24e66eaadde24dbc890cac6afc267bc3,0,12,165,finished,
151,47a883fe22e044e59b4c5e8b8eded0bc,1,15,186,finished,
152,29a37fdbae3f493cbf517707db3a524b,1,14,196,finished,
153,2a5462623f52450d8c9ea211650995f2,0,9,104,finished,
154,7ec5bc9c2a6e496cadd80a138d8f4cb1,1,13,142,finished,
155,b8d0f97f63e241e288b81042421cc5c8,1,11,175,finished,
156,e41d886cd8ca43c687fca1962a91ba18,1,13,134,finished,
157,9fd8757fbf9844e6bcd3df4cf4c5fc67,1,10,109,finished,
158,21a0fa4a4dd846fb8b5420be0581cd51,1,11,129,finished,
159,2c69db9e447c403db64e983030ce889c,1,14,192,finished,
160,86990379b16c41848407cedbca21087c,1,14,136,finished,
161,9b461ebeedbe4717b16a45bfa14e51c2,1,11,132,finished,
162,02844d42898c42d991b3cfdc2e99bcd9,1,15,166,finished,
163,fd63e67170cc44869e95838e1f3fc309,1,11,109,finished,
164,cb3b99a9ebc244b286f01c01e20f3508,1,11,129,finished,
165,107322d922b044ecab8010f8a6813905,0,15,206,finished,
166,4d0d74fea0fa4dcd8b3c8723d3dc669c,1,13,164,finished,
167,6c3c54ee570b4198b5f50bdb5a7c449e,1,13,155,finished,
168,fde2eb22d66f4326824ea4e62a1a2d87,1,11,151,finished,
169,cbdf544a29704d65bd1bc8f4c6b3c002,1,12,147,finished,
170,9f32a3ed93e7443b9e7db57933dd2e83,0,14,165,finished,
171,c09d26ee209a4ef8b78cf844879e6ca3,1,14,181,finished,
172,64b2fb8032a84709a422b41684cb1620,1,14,167,finished,
173,dd8f629cff384cf6bb4100e2b0a29eca,1,11,152,finished,
174,6a3899ad1cf24f138a160ea2737437ac,0,11,173,finished,
175,0d7c20ecc3c5495a96d9575094963613,1,13,142,finished,
176,b24cf87c7d914f55be33305a3c4028eb,1,15,185,finished,
177,258f8d86ab3a470480d8cda832548b09,1,8,88,finished,
178,48227253ee98415784c384abd833cd3a,1,14,195,finished,
179,ee4cabe1118e42acbef69f91e2dcc1ab,1,15,183,finished,
180,4968abc74624447589158b7e5078ffd7,1,13,146,finished,
181,b5327aed824e419b86586ea2dffb6a57,0,11,119,finished,
182,e1e54dee653c4e38831c4c4ac46a4546,1,16,198,finished,
183,21eb4f6b834446a689aa08eebb62e220,1,12,151,finished,
184,45549a074b0c4b97be91e843a2ca8e00,1,12,158,finished,
185,c64f73ae46ff409bace520baa6b2481f,1,13,162,finished,
186,14f1b5f0c2cc457a8013697a3dcdd589,1,12,159,finished,
187,a3fff6d9fffc41b0a70af8c30c8a7dd7,1,13,151,finished,
188,da111d62d7464b0ca12cdb5866ee2ac2,1,11,168,finished,
189,631a936ba4144fc68617e268257a5223,1,12,148,finished,
190,f401a45863cc41fab2ec9a58025816f2,1,13,115,finished,
191,ba533d1346f84f7ea1a7f8b521fe2a8e,1,13,172,finished,
192,e8686c8aa23a470799709059fc2750db,1,12,134,finished,
193,6b5f7536781e46b8880209c0a67b86a4,1,13,167,finished,
194,27625c3d8907426c8e541ad43f2043ea,0,8,94,finished,
195,030825f7b7b34a9f846fb4a1ce9fea44,1,14,224,finished,
196,418bc2ee0a7640d48557bd7797dca4b3,1,14,160,finished,
197,d466017a751d444fa5a3ae9e1d4a342c,0,10,128,finished,
198,472bf06033054322b7db57628a2fef7e,1,13,154,finished,
199,6f1889f659b1496d9ee45f35960e4331,1,15,182,finished,
200,9c941f712c2b4685b4c11e97c743b8e3,0,10,148,finished,
201,d1f10cbb626b4862bc03aa72331e6d33,1,10,138,finished,
202,2440bfe0fd7e40b09d99b6a39353ae04,1,8,54,finished,
203,904fa7a0c513493a84a9b5ec73850bcc,1,14,162,finished,
204,2cedf4e0045e4bb7bea9c8f7e2ae23cb,1,14,169,finished,
205,ac77a55ab64145378d22bdc53b71dc4f,1,12,114,finished,
206,6fbab35fb99a44baa3be260c540cca51,1,13,149,finished,
207,1cc89f11c81d4b43883afbbae2e4eb28,0,10,141,finished,
208,8abe497a06a545ef9d7f30d15a84484a,1,14,156,finished,
209,f7e3778ff0c34277b397fcbe359583c3,1,12,135,finished,
210,b0fe652dedde4cf28ecf7349f2546227,1,7,89,finished,
211,e8ef28c4c6b343bf94c65429a0e8e6f3,1,14,152,finished,
212,ca74daf790cd4d2a8c4d9c934f4961fd,1,16,182,finished,
213,3e3e2d0a522b48feabffba6fcbdcbb2d,1,14,176,finished,
214,f60add80179a4f19aeb7b83d28b5e3b7,1,12,145,finished,
215,1f409dfb39404b2c904044d5b585c7a2,1,13,174,finished,
216,ae3ffa00415443f780879b551c14c925,1,13,146,finished,
217,5aec84c805fd488a9c57763f61c5064b,1,12,155,finished,
218,f0f606165b284c78ac3ae0d7ae411267,0,11,148,finished,
219,82d26bb424994d81ac2e7b385904d75b,0,13,150,finished,
220,93deddaa10bf467390b672ae10b6e391,1,16,156,finished,
221,9e7a4e680e684165be84b8b92f89e45e,1,12,138,finished,
222,e2f047c3e7a348059f92d4f6aa3c397f,1,14,157,finished,
223,bf159e2f8cb443dd8555c81b5affa31e,0,12,124,finished,
224,f2e35547f5154c959602c03a5dd3712d,1,12,147,finished,
225,2870c195c9324eb4957d45f98872d247,1,13,172,finished,
226,483b16c47a4d4d7d81296f78b0bcc6bd,0,10,119,finished,
227,f58c7cb04c324c38842841b0072d4544,1,10,107,finished,
228,6b27ef2e21ee44f8bc0628f9f4877063,1,13,151,finished,
229,e0f5025a1f224dff816e22211442e839,1,12,123,finished,
230,f3b8f92bbf8b4b3992f87aaa5c8d5193,1,13,186,finished,
231,2069c284698e40709f97162624b349d8,1,12,149,finished,
232,4cc91df7362540a79516bd57e8d1120a,1,10,105,finished,
233,dbaaf956615746199e8d2e7dfd6fe679,1,10,107,finished,
234,f8143918e5c7401c9c6ec7c235f342d9,1,14,172,finished,
235,e1e0c12162a440f881bdb962b18cdaae,1,12,141,finished,
236,013a5ab7915c430e957168f4a9975616,1,15,160,finished,
237,3c87fb5ea4b240c9abb8107171c1b587,0,11,150,finished,
238,492c8d1b6d1f4b19ab5b90eb81a36740,1,12,143,finished,
239,2719be3b432346b09062634b49de5606,1,16,190,finished,
240,6d0eea43f2254650935bcfbe5a1b31b2,0,12,126,finished,
241,bd971f4f33a243279a5d33c4a23b251b,1,12,171,finished,
242,32bf19eeae13403aa59ed8a70ef81639,1,13,193,finished,
243,076064af80054e4f922a7b7203b9f8b7,1,12,141,finished,
244,93d6e1188cc4407c9fcf675cda3bb02e,1,13,168,finished,
245,3313757dae634b63a2f095526e4c5af1,1,10,120,finished,
246,7f5fd5e4e3e147b48f2ad6e30a8b1b0d,1,13,131,finished,
247,b1b2f0279a064238a34ace989e27d962,1,11,150,finished,
248,7a53c6bbba274988bbdef6984ddb764d,1,12,148,finished,
249,2245d75bda394d80ac74c49693701784,1,15,159,finished,
250,3a2328217c944e03a90747dbc2b9d875,1,13,182,finished,
251,352b598680264491905a7675f7131321,0,12,154,finished,
252,4ab0626a26c647a1bf811a9dbe010f8c,1,10,142,finished,
253,febbe5fa091e4b78b3dfff96fbc523e1,1,13,139,finished,
254,d19b8529a7ee423789d51b7cca211be1,1,14,158,finished,
255,b6e2bc375e9d459bba65a291cbcf0d21,1,17,205,finished,
256,331e549acb7b46db88b4588c0125a3c8,1,12,145,finished,
257,2e8cef21a2844a3289c64656c35ea660,1,11,117,finished,
258,1fd6504758b84c95914db5d8b3bdc70a,1,11,150,finished,
259,ac5967f2036846db93a1662ad3cc6366,1,12,162,finished,
260,33dff5639bbe4ace9053ea3c159f4584,1,14,172,finished,
261,71277f305826423b90b17c66f2aac2cb,1,14,164,finished,
262,0b6118063c4e45838842db56268a42b5,1,12,130,finished,
263,ace60fc6cced4b77818daec3719616b8,1,16,214,finished,
264,2d06b0a949ce4b5d8ecc5a1cf81c789a,1,12,137,finished,
265,2ef593e3fc624b71abc1c7f2f955dfd3,1,12,182,finished,
266,4cfedaed17634c34b3a315dc749643d6,0,11,170,finished,
267,8c26527204f84dbe9db220f9732a7b3e,1,9,108,finished,
268,684e33b06be94211a61861ba6fc9d4ae,1,15,186,finished,
269,66d6350f792d4fb9af18c7cbcf123653,1,15,145,finished,
270,35b2c8ce594a4d899718029eb83b2310,1,12,172,finished,
271,f34839f2eb674c3897127172ead7e9ff,1,15,169,finished,
272,0f686ed122b147d8861440e914c56d5b,1,17,214,finished,
273,35f540d7ba164514964c1807a707eb39,1,15,171,finished,
274,dff2c548a5f44cbfb538e0fc62047829,1,12,139,finished,
275,2c49a6e674ff44c3ac749597aac8c572,1,14,182,finished,
276,ae559267b7bb4415ae15141063397726,1,11,147,finished,
277,1fb81b0a5cef4cbbaaba4f16bb1bcb03,1,12,143,finished,
278,6ddc99426fdb46daa68c174f6e7836c0,1,9,115,finished,
279,3d122842380e4c39a2559308304caf6a,1,10,110,finished,
280,90a949dfb90449358e68c8b5e57ac893,1,12,148,finished,
281,2f91368d830e4ed8b50c52ba591b83eb,1,15,179,finished,
282,c089675503d34577812a6a49e6b02325,1,10,131,finished,
283,084cb7b421514bd193081e538081a051,1,12,155,finished,
284,5d5f7b9067ef46b395fd423128e1493c,0,9,134,finished,
285,250a538b56ef4acb9ccd99cc1d76f6a9,1,12,173,finished,
286,fc62572f569b426bb9be4c3eff87b8cd,1,13,183,finished,
287,e54f750392e34604b3961462fad80821,1,8,91,finished,
288,e8d7415972cb4b3085af4be609d9f9bd,1,13,177,finished,
289,94e6c07d7b8947348798b12554996d6a,1,12,122,finished,
290,586411f20e464e40bbb3267883fb9bfa,1,12,152,finished,
291,5ee37dbdea4645d8add163302a7f3203,1,12,155,finished,
292,bcfb4a8432624226844adddba9390926,1,13,178,finished,
293,0e68cdc28aa54693a1b1dd25a64ca334,1,13,142,finished,
294,2e69436381c041c89a3c65049f25fea6,0,10,145,finished,
295,f8c4b44579e144a38b77fdd195e23fff,0,10,133,finished,
296,648763e874054df9b7309812b84d45aa,1,12,175,finished,
297,ce8fd0fd04684269acc029f2d2895868,1,11,147,finished,
298,63a418c353144657810720f052b8be36,1,13,147,finished,
299,8fce548ce7734733aa55ebefe77aee5e,1,12,145,finished,
300,1ebb3a5aec9748f5a7e673af44a199b5,1,13,120,finished,
301,bfbb5494c6ea4ef9ae29296a8705796d,1,10,146,finished,
302,7b52cc2c81d04fa3a1756f35756dcd8f,1,13,178,finished,
303,c2fa3bc67cb74067bbbe75219c8e4146,1,12,118,finished,
304,76d3c566dd8348aea7138ca8b212b3f5,1,13,148,finished,
305,1a5e51893f574ff5884296a299f8df63,1,11,140,finished,
306,37abf0e48dd84ef586de4a71e8bab3f4,1,15,176,finished,
307,433413ac4f844bd1aeb4e01b83249816,1,12,174,finished,
308,eb514800371d465294ff7e9eca727d3c,1,11,100,finished,
309,837fa15ef7534c3f97b4390feeed04a6,1,14,182,finished,
310,50a101011db24e31b5a280b7550caf15,1,12,143,finished,
311,191fb90946c94cf1b38d7c23c5511b84,1,12,164,finished,
312,4b548d4ea30c4741be8a5efbd81ce927,1,14,188,finished,
313,1468fde012514a449845201ea6567a85,1,17,161,finished,
314,37282ceaf77e4824894b5a4d711f86c2,1,14,149,finished,
315,edc0f9790e1643f180445b05f62d0260,1,13,161,finished,
316,504833a52f134a23bc401bc3c40978e9,1,13,205,finished,
317,610f548360de4d53a4b447687d745411,1,12,128,finished,
318,ced300c7962444499bdbe5ecf241ff77,0,10,137,finished,
319,bc3411e1f1234f6590878020884f6010,0,12,141,finished,
320,db8773fa0c61462d97b31dde151839a8,0,15,195,finished,
321,50cf2744a60f41b3a52def2e2e3255b6,1,15,180,finished,
322,deccbaf02eac4286b90c047cf71fa697,0,9,134,finished,
323,84fb7aa0177e4384abc4f8c9f4843206,0,11,150,finished,
324,2a6b8505fbda43b59334e6df5c53e3e6,1,14,179,finished,
325,a84bcf56210b464ba72467c0fa0d05ac,1,14,149,finished,
326,ab72e39a6af04787834d226137b13d9d,1,12,123,finished,
327,b98fc8bf9ec04c9f948ce308f5561069,1,13,163,finished,
328,044f5198131e4986ba52ccb5acd1f907,1,15,184,finished,
329,1f8cd3c3d0184dabbfdcb0fcb2473cde,1,11,161,finished,
330,e119ed4e38154babaa043de2411777be,1,13,157,finished,
331,38dcdb87f0584e93a8d1a8a008fcb0ea,1,15,156,finished,
332,10e8ab7d46fb44608cd09fa8c7d8c494,0,9,100,finished,
333,74e457b3e5da47ff84f3e42e6d95d8b9,1,14,155,finished,
334,8087a0e9b7e54637a5f2161c782a0d46,1,12,151,finished,
335,8e50614391904786bf1aa4896c036aad,1,10,112,finished,
336,f10892a509764a74a73cb3ede169264a,1,15,168,finished,
337,81873f4158de4d7585c60175540b95aa,1,11,104,finished,
338,c39ae05366084c3ebb7a2e81019091ad,1,12,142,finished,
339,bab46c9b8d9943bca921ae43d4fc1398,1,13,153,finished,
340,86f0714d175c411b995f5c33ded59a57,1,13,144,finished,
341,05d9b69e0b3e4c1986a0542d16c7d990,1,11,155,finished,
342,7c27c8fc56464e8389f8b3544d2830ec,1,10,118,finished,
343,8baddb18a7e6434bb59ce29259df922a,1,15,213,finished,
344,1983ec4c31c04fdd8d76437c90fa087b,1,12,126,finished,
345,7144353918b74818a79d5be2388a4a38,1,12,156,finished,
346,adfe36d7826547e7a5023ea45d58e6d6,1,12,145,finished,
347,e9f290006e3a45eebf12b7892434b046,1,13,167,finished,
348,edeb47f0850742c2817ac974e9ab0269,1,11,105,finished,
349,666f948266894e4bad046233509b8021,0,13,164,finished,
350,df8429e3af964a709dbdc49db9949f66,1,13,166,finished,
351,e1a20699eacd4b2bb7632d4633aa3b9c,1,12,175,finished,
352,3d66b43ce3494272affd1d8bf2394679,1,12,145,finished,
353,a41f27af51094815a25a0e858b63ef6d,0,10,126,finished,
354,1740e3f45bc546d3a5142f32ded8c27b,1,12,145,finished,
355,8b8c4262448e442fb17dbce704c05b9b,1,12,122,finished,
356,6408bb5a82df4a64b07cc57ab821a52f,1,13,157,finished,
357,18736890fa1a4588b8048908303d5380,0,9,111,finished,
358,78b23fe9804746178ad4632d20694982,1,8,81,finished,
359,ddb6db3ac40e4cedabf80ea308eb8313,1,14,152,finished,
360,0c1b16744dd643e1b488cbd6433dd5e0,1,13,162,finished,
361,eebe5430117b4cb78c545550bfed6c07,0,10,104,finished,
362,040fbe36788949cd841c1b4de659a40f,1,11,132,finished,
363,027c7d6508e544fa9eb0e8de47f5a069,1,13,145,finished,
364,1237a550a75f449b99b73583aa87f581,1,13,168,finished,
365,b89df7b3494049de94ccc70055e6eceb,1,16,195,finished,
366,d8afbef317be4ec69a0f4d141b5435df,1,11,95,finished,
367,a1aeb4d18508460da8337c302dd1e9f2,1,14,169,finished,
368,7b69ba3d99224679ba38e43ec21801e1,1,13,149,finished,
369,8dea89eaa1654391929bf3d9486d668f,1,14,204,finished,
370,c236fabfbcf24297833e8ce0da529560,1,12,139,finished,
371,4fadbf510c7541af982358f919135c64,1,15,237,finished,
372,b53591ef9f9d424bb0c1630959942e55,1,12,159,finished,
373,c549cf50154246d1ac108ad8721915b3,0,12,154,finished,
374,7cbd16fd08d940dcab25d1b93d5fd1d7,1,13,150,finished,
375,66e2b29622b942e194a361e2b711be3c,1,13,187,finished,
376,94df62603d0b44ac8a81ba9d59f71428,1,13,180,finished,
377,7965658f916041fabe56b9686251e955,1,12,167,finished,
378,c35a44314ca44bde9bd8fac813c9ffdf,1,14,176,finished,
379,531f19fa2f9e447cb101a0c3e62ece35,1,13,171,finished,
380,ef266ea38c4f485a8f0d54de02507840,0,12,179,finished,
381,c047ae44306c4088a8683fd7ebdb5017,1,12,127,finished,
382,7e925f3851114daa88fdc6456633b134,1,14,167,finished,
383,a3b5a337b4da421f8a5b157e89b7cb15,0,10,147,finished,
384,ffd524c8ae3243ac93e991dd45e156cb,1,13,149,finished,
385,6542f3b01cca464ba085635ddd582ca9,1,14,165,finished,
386,c66c21cbb9d04c06a32a98f85762acb1,1,12,126,finished,
387,814bf173430746f7b117ad2e68493dac,1,14,177,finished,
388,14ffa53b70864a9aa76546cca8731454,1,15,164,finished,
